Price,Name,Mileage,URL
"9,847",Used 2008 Acura TL 3.2,"137,091 miles",https://www.autotrader.com/cars-for-sale/vehicle/720131774?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"9,475",Used 2009 Acura TL,"142,029 miles",https://www.autotrader.com/cars-for-sale/vehicle/716876112?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"8,950",Used 2010 Acura TL,"127,977 miles",https://www.autotrader.com/cars-for-sale/vehicle/718506199?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"4,500",Used 2007 Acura TL Type-S,"205,146 miles",https://www.autotrader.com/cars-for-sale/vehicle/719946831?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,600",Used 2008 Acura TL,"208,659 miles",https://www.autotrader.com/cars-for-sale/vehicle/705823989?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,950",Used 2006 Acura TL,"209,113 miles",https://www.autotrader.com/cars-for-sale/vehicle/674672539?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,200",Used 2005 Acura TL,"175,492 miles",https://www.autotrader.com/cars-for-sale/vehicle/717483872?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2009 Acura TL,"154,080 miles",https://www.autotrader.com/cars-for-sale/vehicle/718338663?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2006 Acura TL,"97,494 miles",https://www.autotrader.com/cars-for-sale/vehicle/717877258?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,999",Used 2012 Acura TL,"164,810 miles",https://www.autotrader.com/cars-for-sale/vehicle/708325547?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,390",Used 2006 Acura TL,"147,467 miles",https://www.autotrader.com/cars-for-sale/vehicle/710536679?allListingType=all-cars&keywordPhrases=Acura%20TL%20Type-S%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAcura%2520TL%2520Type-S%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
