Price,Mileage,URL,Name
"221,988","1,812 miles",https://www.autotrader.com/cars-for-sale/vehicle/703548584?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2024 Aston Martin DBX
"35,950","54,664 miles",https://www.autotrader.com/cars-for-sale/vehicle/719499016?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2008 Aston Martin V8 Vantage Roadster
"44,800","14,754 miles",https://www.autotrader.com/cars-for-sale/vehicle/711352699?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Aston Martin V8 Vantage Roadster
"49,850","20,003 miles",https://www.autotrader.com/cars-for-sale/vehicle/681100106?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Aston Martin V8 Vantage S
"52,995","17,025 miles",https://www.autotrader.com/cars-for-sale/vehicle/717579883?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Aston Martin V8 Vantage Roadster
"62,800","13,603 miles",https://www.autotrader.com/cars-for-sale/vehicle/721091490?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Aston Martin V8 Vantage S
"63,595","7,488 miles",https://www.autotrader.com/cars-for-sale/vehicle/720550780?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Aston Martin V8 Vantage S
"66,495","14,385 miles",https://www.autotrader.com/cars-for-sale/vehicle/715305263?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Aston Martin V8 Vantage Roadster
"108,999","30,738 miles",https://www.autotrader.com/cars-for-sale/vehicle/718767167?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2020 Mercedes-Benz AMG GT C
"130,090","19,379 miles",https://www.autotrader.com/cars-for-sale/vehicle/720460713?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2021 Aston Martin V8 Vantage Roadster
"144,444","3,800 miles",https://www.autotrader.com/cars-for-sale/vehicle/721363528?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2022 Aston Martin V8 Vantage Roadster
"187,988",561 miles,https://www.autotrader.com/cars-for-sale/vehicle/711413929?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2023 Aston Martin DBX
"221,988","1,812 miles",https://www.autotrader.com/cars-for-sale/vehicle/703548584?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2024 Aston Martin DBX
"236,686",37 miles,https://www.autotrader.com/cars-for-sale/vehicle/712234282?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,New 2023 Aston Martin DBX
"259,990","8,115 miles",https://www.autotrader.com/cars-for-sale/vehicle/710161456?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2021 Aston Martin DBS Superleggera
"292,500",26 miles,https://www.autotrader.com/cars-for-sale/vehicle/716732738?allListingType=all-cars&keywordPhrases=Aston%20Martin%20V8%20Vantage%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAston%2520Martin%2520V8%2520Vantage%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,New 2024 Aston Martin DB12 Coupe
