Name,Price,Mileage,URL
2012 Audi S5,"$14,995","70,531 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUCVAFR8CA003654/?national=true&radius=6000
2012 Audi S5,"$16,000","84,549 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUCVAFR6CA001319/?national=true&radius=6000
2012 Audi S5,"$20,990","57,810 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUCVAFR6CA002812/?national=true&radius=6000
2011 Audi S5,"$23,498","34,408 miles",https://www.edmunds.com/audi/s5/2011/vin/WAUVVAFR4BA005702/?national=true&radius=6000
2011 Audi S5,"$17,490","74,730 miles",https://www.edmunds.com/audi/s5/2011/vin/WAUVVAFR3BA026752/?national=true&radius=6000
2013 Audi S5,"$16,995","94,321 miles",https://www.edmunds.com/audi/s5/2013/vin/WAUCGAFRXDA047943/?national=true&radius=6000
2013 Audi S5,"$16,995","81,453 miles",https://www.edmunds.com/audi/s5/2013/vin/WAUCGAFRXDA080005/?national=true&radius=6000
2011 Audi S5,"$18,975","89,522 miles",https://www.edmunds.com/audi/s5/2011/vin/WAU3VAFR3BA076526/?national=true&radius=6000
2014 Audi S5,"$18,950","81,883 miles",https://www.edmunds.com/audi/s5/2014/vin/WAUCGAFR6EA050694/?national=true&radius=6000
2012 Audi S5,"$14,918","97,253 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUVVAFR7CA006666/?national=true&radius=6000
2012 Audi S5,"$15,591","97,744 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUCVAFR1CA005794/?national=true&radius=6000
2012 Audi S5,"$12,500","132,541 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUCVAFR4CA001481/?national=true&radius=6000
2012 Audi S5,"$12,495","166,070 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUCVAFR8CA001161/?national=true&radius=6000
2012 Audi S5,"$16,991","93,974 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUCVAFR6CA003667/?national=true&radius=6000
2014 Audi S5,"$21,990","74,816 miles",https://www.edmunds.com/audi/s5/2014/vin/WAUCGAFR2EA042995/?national=true&radius=6000
2012 Audi S5,"$21,995","62,703 miles",https://www.edmunds.com/audi/s5/2012/vin/WAUVVAFR3CA015719/?national=true&radius=6000
2011 Audi S5,"$8,995","101,657 miles",https://www.edmunds.com/audi/s5/2011/vin/WAUVVAFR2BA012714/?national=true&radius=6000
2014 Audi S5,"$18,995","97,854 miles",https://www.edmunds.com/audi/s5/2014/vin/WAUCGAFR5EA047866/?national=true&radius=6000
2014 Audi S5,"$24,430","30,281 miles",https://www.edmunds.com/audi/s5/2014/vin/WAUGGAFR1EA013182/?national=true&radius=6000
2013 Audi S5,"$15,488","82,016 miles",https://www.edmunds.com/audi/s5/2013/vin/WAUCGAFR6DA021159/?national=true&radius=6000
2013 Audi S5,"$12,995","109,983 miles",https://www.edmunds.com/audi/s5/2013/vin/WAUCGAFR0DA044470/?national=true&radius=6000
