Price,Mileage,URL,Name
"43,784","68,007 miles",https://www.autotrader.com/cars-for-sale/vehicle/717835460?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2018 Audi TT RS
"57,995","48,222 miles",https://www.autotrader.com/cars-for-sale/vehicle/715204356?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Certified 2021 Audi TT RS
"58,995","40,195 miles",https://www.autotrader.com/cars-for-sale/vehicle/712026009?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2019 Audi TT RS
"11,350","63,738 miles",https://www.autotrader.com/cars-for-sale/vehicle/711751563?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2020 Kia Optima LX
"14,999","120,621 miles",https://www.autotrader.com/cars-for-sale/vehicle/711495919?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Audi TT 2.0T
"19,995","69,832 miles",https://www.autotrader.com/cars-for-sale/vehicle/719063675?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Audi TT 2.0T
"34,000","67,942 miles",https://www.autotrader.com/cars-for-sale/vehicle/713496121?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Audi TT RS
"38,500","65,200 miles",https://www.autotrader.com/cars-for-sale/vehicle/716777129?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Audi TT RS
"39,504","73,500 miles",https://www.autotrader.com/cars-for-sale/vehicle/715193412?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2018 Audi TT RS
"42,995","59,156 miles",https://www.autotrader.com/cars-for-sale/vehicle/715669599?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Audi TT RS
"43,784","68,007 miles",https://www.autotrader.com/cars-for-sale/vehicle/717835460?allListingType=all-cars&keywordPhrases=Audi%20TT%20RS%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DAudi%2520TT%2520RS%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2018 Audi TT RS
