Price,Mileage,URL,Name
"24,250","58,270 miles",https://www.autotrader.com/cars-for-sale/vehicle/720039685?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2016 BMW 640i Gran Coupe xDrive
"86,575","7,998 miles",https://www.autotrader.com/cars-for-sale/vehicle/715759621?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2024 BMW 840i Convertible
"68,900","7,162 miles",https://www.autotrader.com/cars-for-sale/vehicle/717146992?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2024 BMW 440i xDrive Convertible
"6,895","143,168 miles",https://www.autotrader.com/cars-for-sale/vehicle/720430078?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 128i Coupe
"6,999","123,837 miles",https://www.autotrader.com/cars-for-sale/vehicle/721163722?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Honda CR-V EX
"7,998","132,834 miles",https://www.autotrader.com/cars-for-sale/vehicle/680367909?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Chevrolet Impala LT
"7,999","91,714 miles",https://www.autotrader.com/cars-for-sale/vehicle/665294372?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Hardtop
"8,500","143,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/718467183?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 BMW 335i Convertible
"8,998","145,666 miles",https://www.autotrader.com/cars-for-sale/vehicle/711495253?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Toyota Prius
"8,999","139,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/719175513?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 BMW 135i Convertible
"9,998","161,862 miles",https://www.autotrader.com/cars-for-sale/vehicle/671274743?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Toyota Sienna XLE
"9,999","88,589 miles",https://www.autotrader.com/cars-for-sale/vehicle/717780210?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Ford Escape Titanium
"9,999","129,454 miles",https://www.autotrader.com/cars-for-sale/vehicle/716666776?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 MAZDA MX-5 Miata Sport
"9,999","160,593 miles",https://www.autotrader.com/cars-for-sale/vehicle/714075887?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2009 GMC Savana 2500
"10,495","133,734 miles",https://www.autotrader.com/cars-for-sale/vehicle/717965208?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 128i Convertible
"10,999","95,564 miles",https://www.autotrader.com/cars-for-sale/vehicle/707926365?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 Toyota Prius
"11,500","42,682 miles",https://www.autotrader.com/cars-for-sale/vehicle/716787324?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 BMW 128i Convertible
"11,891","82,513 miles",https://www.autotrader.com/cars-for-sale/vehicle/717686644?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 335i Coupe
"11,995","140,678 miles",https://www.autotrader.com/cars-for-sale/vehicle/709889140?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Lexus IS 250
"11,998","333,588 miles",https://www.autotrader.com/cars-for-sale/vehicle/717780215?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2004 Dodge Ram 2500 Truck SLT
"11,999","152,551 miles",https://www.autotrader.com/cars-for-sale/vehicle/720871604?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2016 Ford Expedition EL XLT
"11,999","117,226 miles",https://www.autotrader.com/cars-for-sale/vehicle/721446605?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 135i Convertible
"12,995","69,229 miles",https://www.autotrader.com/cars-for-sale/vehicle/698524261?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 135i Convertible
"95,000",877 miles,https://www.autotrader.com/cars-for-sale/vehicle/704689793?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Certified 2024 BMW 840i xDrive Convertible
