Price,Mileage,URL,Name
"34,990","30,270 miles",https://www.autotrader.com/cars-for-sale/vehicle/717717016?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Certified 2021 BMW 430i xDrive Coupe
"23,884","31,346 miles",https://www.autotrader.com/cars-for-sale/vehicle/719587068?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Certified 2021 BMW 228i Gran Coupe
"74,000","13,210 miles",https://www.autotrader.com/cars-for-sale/vehicle/676292919?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Certified 2023 BMW 840i Gran Coupe xDrive
"6,895","143,168 miles",https://www.autotrader.com/cars-for-sale/vehicle/720430078?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 128i Coupe
"6,999","123,837 miles",https://www.autotrader.com/cars-for-sale/vehicle/721163722?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Honda CR-V EX
"7,998","132,834 miles",https://www.autotrader.com/cars-for-sale/vehicle/680367909?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Chevrolet Impala LT
"7,999","91,714 miles",https://www.autotrader.com/cars-for-sale/vehicle/665294372?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Hardtop
"8,998","145,666 miles",https://www.autotrader.com/cars-for-sale/vehicle/711495253?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Toyota Prius
"8,999","132,256 miles",https://www.autotrader.com/cars-for-sale/vehicle/706337439?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 128i Coupe
"9,500","89,150 miles",https://www.autotrader.com/cars-for-sale/vehicle/719603037?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 128i Coupe
"9,888","88,311 miles",https://www.autotrader.com/cars-for-sale/vehicle/712748436?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 128i Coupe
"9,998","161,862 miles",https://www.autotrader.com/cars-for-sale/vehicle/671274743?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Toyota Sienna XLE
"9,999","88,589 miles",https://www.autotrader.com/cars-for-sale/vehicle/717780210?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Ford Escape Titanium
"9,999","129,454 miles",https://www.autotrader.com/cars-for-sale/vehicle/716666776?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 MAZDA MX-5 Miata Sport
"9,999","160,593 miles",https://www.autotrader.com/cars-for-sale/vehicle/714075887?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2009 GMC Savana 2500
"10,495","74,237 miles",https://www.autotrader.com/cars-for-sale/vehicle/719639730?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 128i Coupe
"10,999","95,564 miles",https://www.autotrader.com/cars-for-sale/vehicle/707926365?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 Toyota Prius
"11,350","63,738 miles",https://www.autotrader.com/cars-for-sale/vehicle/711751563?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2020 Kia Optima LX
"11,891","82,513 miles",https://www.autotrader.com/cars-for-sale/vehicle/717686644?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 335i Coupe
"11,998","333,588 miles",https://www.autotrader.com/cars-for-sale/vehicle/717780215?allListingType=all-cars&keywordPhrases=BMW%201%20Series%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%25201%2520Series%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2004 Dodge Ram 2500 Truck SLT
