Name,Price,Mileage,URL
2012 BMW 3 Series,"$2,232","92,188 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3A5C52CF259120/?national=true&radius=6000
2012 BMW 3 Series,"$7,995","131,900 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3C1C56CF433385/?national=true&radius=6000
2012 BMW 3 Series,"$8,999","115,377 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3A5G58CNP18070/?national=true&radius=6000
2012 BMW 3 Series,"$9,995","85,263 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3A5G55CNP18284/?national=true&radius=6000
2012 BMW 3 Series,"$9,998","89,215 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3A5C58CF344950/?national=true&radius=6000
2012 BMW 3 Series,"$8,994","95,050 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3C1C51CF434315/?national=true&radius=6000
2012 BMW 3 Series,"$9,495","102,018 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3C1C56CF431426/?national=true&radius=6000
2012 BMW 3 Series,"$7,490","159,810 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3A5C51CF258573/?national=true&radius=6000
2012 BMW 3 Series,"$9,999","73,114 miles",https://www.edmunds.com/bmw/3-series/2012/vin/WBA3A5C58CF341286/?national=true&radius=6000
2013 BMW 3 Series,"$12,683","46,630 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3C1G5XDNR45636/?national=true&radius=6000
2013 BMW 3 Series,"$6,698","123,233 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3A5C56DF357133/?national=true&radius=6000
2013 BMW 3 Series,"$7,995","119,242 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3B3C59DF531603/?national=true&radius=6000
2013 BMW 3 Series,"$3,999","166,636 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3B5G52DNP40824/?national=true&radius=6000
2011 BMW 3 Series,"$4,999","157,429 miles",https://www.edmunds.com/bmw/3-series/2011/vin/WBAPH7G56BNM54984/?national=true&radius=6000
2013 BMW 3 Series,"$1,900","177,964 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3B3C59DF540267/?national=true&radius=6000
2013 BMW 3 Series,"$10,999","94,261 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3C1C52DF438035/?national=true&radius=6000
2011 BMW 3 Series,"$4,990","163,119 miles",https://www.edmunds.com/bmw/3-series/2011/vin/WBAPH5C53BA446357/?national=true&radius=6000
2011 BMW 3 Series,"$5,995","168,006 miles",https://www.edmunds.com/bmw/3-series/2011/vin/WBAPH7C53BE674833/?national=true&radius=6000
2013 BMW 3 Series,"$7,999","133,174 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3A5C57DF452994/?national=true&radius=6000
2013 BMW 3 Series,"$2,800","136,493 miles",https://www.edmunds.com/bmw/3-series/2013/vin/WBA3A5C5XDF356082/?national=true&radius=6000
2011 BMW 3 Series,"$7,999","110,897 miles",https://www.edmunds.com/bmw/3-series/2011/vin/WBAPH7C53BE852434/?national=true&radius=6000
