Price,Mileage,URL,Name
"9,770","96,330 miles",https://www.autotrader.com/cars-for-sale/vehicle/718129211?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2013 BMW 328i Sedan
"10,216","71,056 miles",https://www.autotrader.com/cars-for-sale/vehicle/712604921?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2013 BMW 328i Sedan
"59,950","23,421 miles",https://www.autotrader.com/cars-for-sale/vehicle/713682110?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2012 BMW M3 Coupe
"6,200","142,165 miles",https://www.autotrader.com/cars-for-sale/vehicle/720652928?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 328i Coupe
"6,999","123,837 miles",https://www.autotrader.com/cars-for-sale/vehicle/721163722?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Honda CR-V EX
"7,998","132,834 miles",https://www.autotrader.com/cars-for-sale/vehicle/680367909?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Chevrolet Impala LT
"7,999","91,714 miles",https://www.autotrader.com/cars-for-sale/vehicle/665294372?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Hardtop
"8,991","122,626 miles",https://www.autotrader.com/cars-for-sale/vehicle/719892413?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 328i xDrive Coupe
"8,998","145,666 miles",https://www.autotrader.com/cars-for-sale/vehicle/711495253?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Toyota Prius
"9,675","113,419 miles",https://www.autotrader.com/cars-for-sale/vehicle/720100797?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 BMW 328i Sedan
"9,758","96,453 miles",https://www.autotrader.com/cars-for-sale/vehicle/716660312?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2013 BMW 328i Sedan
"9,770","96,330 miles",https://www.autotrader.com/cars-for-sale/vehicle/718129211?allListingType=all-cars&keywordPhrases=BMW%20M3%20Coupe%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBMW%2520M3%2520Coupe%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2013 BMW 328i Sedan
