Price,Name,Mileage,URL
"89,995",Used 2012 Bentley Continental GT Supersports,"22,817 miles",https://www.autotrader.com/cars-for-sale/vehicle/716168088?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"59,900",Used 2011 Bentley Continental GT Speed,"63,175 miles",https://www.autotrader.com/cars-for-sale/vehicle/682606202?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"73,996",Used 2011 Bentley Continental GT Supersports,"21,805 miles",https://www.autotrader.com/cars-for-sale/vehicle/672028354?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"59,900",Used 2011 Bentley Continental GT Speed,"63,175 miles",https://www.autotrader.com/cars-for-sale/vehicle/682606202?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"62,500",Used 2012 Bentley Continental GT Supersports,"53,975 miles",https://www.autotrader.com/cars-for-sale/vehicle/707457252?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"69,998",Used 2011 Bentley Continental GT Supersports,"27,090 miles",https://www.autotrader.com/cars-for-sale/vehicle/671537422?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"69,998",Used 2011 Bentley Continental GT Supersports,"23,047 miles",https://www.autotrader.com/cars-for-sale/vehicle/718818224?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"73,888",Used 2011 Bentley Continental GT Supersports,"19,262 miles",https://www.autotrader.com/cars-for-sale/vehicle/699258274?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"73,996",Used 2011 Bentley Continental GT Supersports,"21,805 miles",https://www.autotrader.com/cars-for-sale/vehicle/672028354?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"79,500",Used 2012 Bentley Continental Supersports,"36,899 miles",https://www.autotrader.com/cars-for-sale/vehicle/708733325?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"81,900",Used 2011 Bentley Continental GT Supersports,"25,743 miles",https://www.autotrader.com/cars-for-sale/vehicle/685088356?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"86,900",Used 2011 Bentley Continental GT Supersports,"19,447 miles",https://www.autotrader.com/cars-for-sale/vehicle/667734643?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"89,900",Used 2012 Bentley Continental Supersports ISR,"16,994 miles",https://www.autotrader.com/cars-for-sale/vehicle/661485659?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"89,995",Used 2012 Bentley Continental GT Supersports,"22,817 miles",https://www.autotrader.com/cars-for-sale/vehicle/716168088?allListingType=all-cars&keywordPhrases=Bentley%20Continental%20Supersports%20Conv.%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBentley%2520Continental%2520Supersports%2520Conv.%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
