Price,Name,Mileage,URL
"15,990",Used 2014 Buick Regal,"91,180 miles",https://www.autotrader.com/cars-for-sale/vehicle/714156310?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"14,000",Used 2014 Buick Regal Premium,"82,575 miles",https://www.autotrader.com/cars-for-sale/vehicle/720244608?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"9,567",Used 2014 Buick Regal Premium,"104,720 miles",https://www.autotrader.com/cars-for-sale/vehicle/718046890?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,999",Used 2012 Buick Regal GS,"141,229 miles",https://www.autotrader.com/cars-for-sale/vehicle/718703522?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,450",Used 2012 Buick Regal GS,"166,884 miles",https://www.autotrader.com/cars-for-sale/vehicle/720310428?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,500",Used 2014 Buick Regal Premium,"171,671 miles",https://www.autotrader.com/cars-for-sale/vehicle/719442760?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,991",Used 2012 Buick Regal GS,"144,113 miles",https://www.autotrader.com/cars-for-sale/vehicle/718337947?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,448",Used 2012 Buick Regal GS,"132,516 miles",https://www.autotrader.com/cars-for-sale/vehicle/717215643?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,992",Used 2014 Buick Regal Premium,"114,245 miles",https://www.autotrader.com/cars-for-sale/vehicle/716010515?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2012 Buick Regal GS,"125,149 miles",https://www.autotrader.com/cars-for-sale/vehicle/691134881?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,500",Used 2012 Buick Regal GS,"138,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/664876630?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,567",Used 2014 Buick Regal Premium,"104,720 miles",https://www.autotrader.com/cars-for-sale/vehicle/718046890?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2012 Buick Regal GS,"111,495 miles",https://www.autotrader.com/cars-for-sale/vehicle/718080854?allListingType=all-cars&keywordPhrases=Buick%20Regal%20GS%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Regal%2520GS%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
