Price,Mileage,URL,Name
"10,900","98,612 miles",https://www.autotrader.com/cars-for-sale/vehicle/718870185?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2012 Buick Verano Leather
"8,987","90,239 miles",https://www.autotrader.com/cars-for-sale/vehicle/720022492?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2012 Buick Verano Leather
"6,999","128,688 miles",https://www.autotrader.com/cars-for-sale/vehicle/714108300?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Used 2012 Buick Verano Convenience
"1,500","178,463 miles",https://www.autotrader.com/cars-for-sale/vehicle/720408382?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Buick Verano Convenience
"3,300","184,483 miles",https://www.autotrader.com/cars-for-sale/vehicle/715847735?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 1997 Mercedes-Benz E 300 Sedan
"3,995","9,965 miles",https://www.autotrader.com/cars-for-sale/vehicle/352430740?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Buick Verano
"4,900","185,550 miles",https://www.autotrader.com/cars-for-sale/vehicle/720295606?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Buick Verano
"4,968","184,911 miles",https://www.autotrader.com/cars-for-sale/vehicle/720842946?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Buick Verano Convenience
"5,000","139,665 miles",https://www.autotrader.com/cars-for-sale/vehicle/719405773?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Buick Verano Leather
"5,977","133,541 miles",https://www.autotrader.com/cars-for-sale/vehicle/721319303?allListingType=all-cars&keywordPhrases=Buick%20Verano%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DBuick%2520Verano%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Buick Verano Leather
