Price,Name,Mileage,URL
"13,990",Used 2012 Cadillac SRX Premium,"67,860 miles",https://www.autotrader.com/cars-for-sale/vehicle/719538417?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"11,997",Used 2012 Lincoln MKX AWD,"88,045 miles",https://www.autotrader.com/cars-for-sale/vehicle/719460396?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"11,750",Used 2013 Cadillac SRX Performance,"111,976 miles",https://www.autotrader.com/cars-for-sale/vehicle/719868760?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"2,000",Used 2012 Cadillac SRX Performance,"161,555 miles",https://www.autotrader.com/cars-for-sale/vehicle/719688890?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,700",Used 2012 Cadillac SRX Luxury,"122,480 miles",https://www.autotrader.com/cars-for-sale/vehicle/719570145?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,850",Used 2012 Cadillac SRX Luxury,"126,849 miles",https://www.autotrader.com/cars-for-sale/vehicle/719568600?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,250",Used 2012 Cadillac SRX Luxury,"240,902 miles",https://www.autotrader.com/cars-for-sale/vehicle/721186423?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,980",Used 2010 Cadillac SRX Performance,"210,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/719726712?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,700",Used 2000 Lexus RX 300 4WD,"179,825 miles",https://www.autotrader.com/cars-for-sale/vehicle/698512792?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,950",Used 2012 Cadillac SRX Luxury,0 miles,https://www.autotrader.com/cars-for-sale/vehicle/711786267?allListingType=all-cars&keywordPhrases=Cadillac%20SRX%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DCadillac%2520SRX%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
