Price,Name,Mileage,URL
"18,250",Used 2013 Chevrolet Avalanche LTZ,"123,090 miles",https://www.autotrader.com/cars-for-sale/vehicle/717159213?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"18,789",Used 2012 Chevrolet Avalanche LT,"100,106 miles",https://www.autotrader.com/cars-for-sale/vehicle/721059214?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"17,292",Used 2013 Chevrolet Avalanche LTZ,"120,032 miles",https://www.autotrader.com/cars-for-sale/vehicle/714984137?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,850",Used 2007 Chevrolet Avalanche LTZ,"172,345 miles",https://www.autotrader.com/cars-for-sale/vehicle/720413391?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,843",Used 2012 Chevrolet Avalanche LTZ,"201,101 miles",https://www.autotrader.com/cars-for-sale/vehicle/717004162?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2012 Chevrolet Avalanche LT,"200,105 miles",https://www.autotrader.com/cars-for-sale/vehicle/707890716?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,249",Used 2013 Chevrolet Avalanche LTZ,"235,378 miles",https://www.autotrader.com/cars-for-sale/vehicle/718540488?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,426",Used 2012 Chevrolet Avalanche LT,"179,244 miles",https://www.autotrader.com/cars-for-sale/vehicle/672869830?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,700",Used 2012 Chevrolet Avalanche LTZ,"201,143 miles",https://www.autotrader.com/cars-for-sale/vehicle/720780224?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,995",Used 2016 RAM ProMaster City Tradesman SLT,"111,012 miles",https://www.autotrader.com/cars-for-sale/vehicle/711627001?allListingType=all-cars&keywordPhrases=Chevrolet%20Avalanche%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Avalanche%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
