Name,Price,Mileage,URL
2012 Chevrolet Corvette,"$44,990","8,144 miles",https://www.edmunds.com/chevrolet/corvette/2012/vin/1G1YX3DW0C5106544/?national=true&radius=6000
2012 Chevrolet Corvette,"$38,998","23,615 miles",https://www.edmunds.com/chevrolet/corvette/2012/vin/1G1YW3DW3C5105083/?national=true&radius=6000
2012 Chevrolet Corvette,"$38,750","27,863 miles",https://www.edmunds.com/chevrolet/corvette/2012/vin/1G1YW3DW2C5106810/?national=true&radius=6000
2012 Chevrolet Corvette,"$41,380","26,734 miles",https://www.edmunds.com/chevrolet/corvette/2012/vin/1G1YW3DW8C5106083/?national=true&radius=6000
2012 Chevrolet Corvette,"$69,900",244 miles,https://www.edmunds.com/chevrolet/corvette/2012/vin/1G1YW3DW5C5108065/?national=true&radius=6000
2012 Chevrolet Corvette,"$40,990","33,363 miles",https://www.edmunds.com/chevrolet/corvette/2012/vin/1G1YW3DW2C5111196/?national=true&radius=6000
2012 Chevrolet Corvette,"$37,990","8,203 miles",https://www.edmunds.com/chevrolet/corvette/2012/vin/1G1YF3DW5C5107949/?national=true&radius=6000
2011 Chevrolet Corvette,"$26,995","64,955 miles",https://www.edmunds.com/chevrolet/corvette/2011/vin/1G1YG3DW1B5109628/?national=true&radius=6000
2013 Chevrolet Corvette,"$50,590","25,677 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1Y73DE9D5700364/?national=true&radius=6000
2011 Chevrolet Corvette,"$32,998","46,926 miles",https://www.edmunds.com/chevrolet/corvette/2011/vin/1G1YW3DW5B5110199/?national=true&radius=6000
2013 Chevrolet Corvette,"$53,400","18,947 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1Y73DEXD5701569/?national=true&radius=6000
2013 Chevrolet Corvette,"$31,000","39,924 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YE3DW8D5107996/?national=true&radius=6000
2013 Chevrolet Corvette,"$32,695","23,450 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YB3DW0D5100923/?national=true&radius=6000
2011 Chevrolet Corvette,"$40,990","21,798 miles",https://www.edmunds.com/chevrolet/corvette/2011/vin/1G1YW3DW8B5104994/?national=true&radius=6000
2013 Chevrolet Corvette,"$38,699","36,593 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YW3DW8D5107221/?national=true&radius=6000
2011 Chevrolet Corvette,"$42,990","17,825 miles",https://www.edmunds.com/chevrolet/corvette/2011/vin/1G1YW3DW9B5101005/?national=true&radius=6000
2013 Chevrolet Corvette,"$43,443","24,281 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YS3DWXD5105983/?national=true&radius=6000
2013 Chevrolet Corvette,"$42,990","1,224 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YV3DW8D5108128/?national=true&radius=6000
2013 Chevrolet Corvette,"$36,363","54,772 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YW3DW9D5110158/?national=true&radius=6000
2013 Chevrolet Corvette,"$87,922","5,833 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YZ3DE9D5700004/?national=true&radius=6000
2013 Chevrolet Corvette,"$47,995","14,834 miles",https://www.edmunds.com/chevrolet/corvette/2013/vin/1G1YW3DW0D5110355/?national=true&radius=6000
