Price,Name,Mileage,URL
"39,675",Used 2013 Chevrolet Corvette Grand Sport,"39,809 miles",https://www.autotrader.com/cars-for-sale/vehicle/718147200?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"88,997",Used 2009 Chevrolet Corvette ZR1,"11,215 miles",https://www.autotrader.com/cars-for-sale/vehicle/720239044?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"199,995",Used 2019 Chevrolet Corvette ZR1,"1,003 miles",https://www.autotrader.com/cars-for-sale/vehicle/695883988?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"23,999",Used 2006 Chevrolet Corvette Coupe,"52,719 miles",https://www.autotrader.com/cars-for-sale/vehicle/719688090?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"24,768",Used 2012 Chevrolet Corvette Coupe,"121,030 miles",https://www.autotrader.com/cars-for-sale/vehicle/721408259?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"31,995",Used 2013 Chevrolet Corvette Grand Sport,"67,814 miles",https://www.autotrader.com/cars-for-sale/vehicle/715067628?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"37,994",Used 2013 Chevrolet Corvette Grand Sport,"40,257 miles",https://www.autotrader.com/cars-for-sale/vehicle/719016257?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"38,500",Used 2007 Chevrolet Corvette Z06,"41,546 miles",https://www.autotrader.com/cars-for-sale/vehicle/709326661?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"38,750",Certified 2013 Chevrolet Corvette Grand Sport,"20,800 miles",https://www.autotrader.com/cars-for-sale/vehicle/713520564?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"38,900",Used 2013 Chevrolet Corvette Grand Sport,"37,734 miles",https://www.autotrader.com/cars-for-sale/vehicle/719990795?allListingType=all-cars&keywordPhrases=Chevrolet%20Corvette%20ZR1%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Corvette%2520ZR1%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
