Price,Name,Mileage,URL
"42,595",Used 2021 Chevrolet Silverado 1500 High Country,"37,151 miles",https://www.autotrader.com/cars-for-sale/vehicle/705489185?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"21,400",Used 2013 Chevrolet Express 1500 AWD,"72,395 miles",https://www.autotrader.com/cars-for-sale/vehicle/719155822?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"10,895",Used 2007 Chevrolet Express 1500,"86,240 miles",https://www.autotrader.com/cars-for-sale/vehicle/672123602?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"1,200",Used 2001 Chevrolet Express 3500,"320,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/720833916?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,650",Used 2007 Chevrolet Express 2500,"191,900 miles",https://www.autotrader.com/cars-for-sale/vehicle/711893101?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,804",Used 2007 Chevrolet Express 3500,"158,731 miles",https://www.autotrader.com/cars-for-sale/vehicle/685385949?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,995",Used 2006 Chevrolet Express 1500,"308,082 miles",https://www.autotrader.com/cars-for-sale/vehicle/718014084?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,995",Used 2007 Chevrolet Express 3500,"217,058 miles",https://www.autotrader.com/cars-for-sale/vehicle/714985026?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2015 Chevrolet City Express LT,"151,790 miles",https://www.autotrader.com/cars-for-sale/vehicle/718953020?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,000",Used 2007 Chevrolet Express 1500,"202,833 miles",https://www.autotrader.com/cars-for-sale/vehicle/711988986?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,450",Used 2009 Chevrolet Express 3500,"183,944 miles",https://www.autotrader.com/cars-for-sale/vehicle/718948372?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,495",Used 2002 Chevrolet Astro Passenger AWD,"135,027 miles",https://www.autotrader.com/cars-for-sale/vehicle/683264952?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,777",Used 2009 Chevrolet Express 1500,"272,350 miles",https://www.autotrader.com/cars-for-sale/vehicle/710496012?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,888",Used 2014 Honda Odyssey EX-L,"256,500 miles",https://www.autotrader.com/cars-for-sale/vehicle/720464578?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,949",Used 2007 Chevrolet Express 3500,"118,645 miles",https://www.autotrader.com/cars-for-sale/vehicle/709110692?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,950",Used 2007 Chevrolet Express 3500,"194,398 miles",https://www.autotrader.com/cars-for-sale/vehicle/720413480?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,990",Used 2007 Chevrolet Express 2500,"170,019 miles",https://www.autotrader.com/cars-for-sale/vehicle/714779641?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,490",Used 2008 Chevrolet Express 1500,"193,782 miles",https://www.autotrader.com/cars-for-sale/vehicle/720956584?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,500",Used 2012 Chevrolet Express 1500,"201,133 miles",https://www.autotrader.com/cars-for-sale/vehicle/695531708?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,899",Used 2014 Chevrolet Express 1500,"130,296 miles",https://www.autotrader.com/cars-for-sale/vehicle/715849843?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,900",Used 2001 Chevrolet Venture LS,"41,033 miles",https://www.autotrader.com/cars-for-sale/vehicle/717151538?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,900",Used 2016 Honda Odyssey EX-L,"190,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/713441041?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,000",Used 2014 Chevrolet Express 1500 AWD,"184,962 miles",https://www.autotrader.com/cars-for-sale/vehicle/714229273?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"24,995",Used 2011 Chevrolet Express 1500 AWD,"124,807 miles",https://www.autotrader.com/cars-for-sale/vehicle/720700476?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"9,435",Used 2016 Chevrolet City Express LT,"119,900 miles",https://www.autotrader.com/cars-for-sale/vehicle/712932159?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,600",Used 2007 Chevrolet Express 3500 LS,"88,378 miles",https://www.autotrader.com/cars-for-sale/vehicle/718237188?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,700",Used 2007 Chevrolet Express 1500,"132,700 miles",https://www.autotrader.com/cars-for-sale/vehicle/716206395?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,700",Used 2014 Chevrolet Express 2500,"229,750 miles",https://www.autotrader.com/cars-for-sale/vehicle/720710746?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,975",Used 2013 Chevrolet Express 2500,"192,272 miles",https://www.autotrader.com/cars-for-sale/vehicle/721448580?allListingType=all-cars&keywordPhrases=Chevrolet%20Express%20Cargo%20Van%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Express%2520Cargo%2520Van%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
