Price,Name,Mileage,URL
"10,500",Used 2011 Honda Pilot LX,"113,911 miles",https://www.autotrader.com/cars-for-sale/vehicle/720248841?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,500",Used 2014 Chevrolet Express 2500,"181,426 miles",https://www.autotrader.com/cars-for-sale/vehicle/703603631?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,800",Used 2016 Ford Transit Connect XL,"157,424 miles",https://www.autotrader.com/cars-for-sale/vehicle/713794080?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,500",Used 2015 Jeep Renegade Latitude,"94,038 miles",https://www.autotrader.com/cars-for-sale/vehicle/720929588?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,503",Used 2014 Volkswagen GTI Driver's Edition,"136,380 miles",https://www.autotrader.com/cars-for-sale/vehicle/720823418?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,000",Used 2015 RAM ProMaster City Tradesman SLT,"126,949 miles",https://www.autotrader.com/cars-for-sale/vehicle/710834255?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,500",Used 2010 Chevrolet HHR SS,"69,738 miles",https://www.autotrader.com/cars-for-sale/vehicle/720149201?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,500",Used 2017 Nissan Frontier SV,"167,021 miles",https://www.autotrader.com/cars-for-sale/vehicle/718962392?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,500",Used 2016 Nissan NV 2500 S,"188,615 miles",https://www.autotrader.com/cars-for-sale/vehicle/713794079?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,800",Used 2019 Nissan NV 1500 SV,"195,194 miles",https://www.autotrader.com/cars-for-sale/vehicle/718440389?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,000",Used 2018 Chevrolet Express 2500,"150,486 miles",https://www.autotrader.com/cars-for-sale/vehicle/718853420?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,500",Used 2016 Chevrolet Express 3500 LT,"188,194 miles",https://www.autotrader.com/cars-for-sale/vehicle/713148823?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,500",Used 2017 Audi Q3 2.0T Premium,"114,440 miles",https://www.autotrader.com/cars-for-sale/vehicle/721468340?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,500",Used 2020 Nissan NV200 SV,"124,003 miles",https://www.autotrader.com/cars-for-sale/vehicle/701580178?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,500",Used 2015 Nissan NV 2500 S,"137,567 miles",https://www.autotrader.com/cars-for-sale/vehicle/710507911?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,500",Used 2011 Ford E-350 and Econoline 350 Super Duty,"145,637 miles",https://www.autotrader.com/cars-for-sale/vehicle/711159624?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,799",Used 2009 Chevrolet Silverado 3500 W/T,"129,083 miles",https://www.autotrader.com/cars-for-sale/vehicle/718440382?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,800",Used 2021 Nissan NV200 SV,"127,561 miles",https://www.autotrader.com/cars-for-sale/vehicle/701151795?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,995",Used 2010 Chevrolet HHR SS,"31,469 miles",https://www.autotrader.com/cars-for-sale/vehicle/713970271?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,500",Used 2012 Ford E-350 and Econoline 350 Super Duty,"97,621 miles",https://www.autotrader.com/cars-for-sale/vehicle/698497123?allListingType=all-cars&keywordPhrases=Chevrolet%20HHR%20SS%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520HHR%2520SS%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
