Price,Mileage,URL,Name
"21,700","50,007 miles",https://www.autotrader.com/cars-for-sale/vehicle/718123232?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2020 Chevrolet Impala LT
"7,999","98,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/719309535?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2011 Chevrolet Impala LT
"15,999","90,363 miles",https://www.autotrader.com/cars-for-sale/vehicle/715051003?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2018 Chevrolet Impala LT
795,"257,014 miles",https://www.autotrader.com/cars-for-sale/vehicle/710924393?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Chevrolet Impala LT
990,"206,605 miles",https://www.autotrader.com/cars-for-sale/vehicle/703353293?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Chevrolet Impala LT
"1,195","223,782 miles",https://www.autotrader.com/cars-for-sale/vehicle/721437935?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Chevrolet Impala LT
"1,995","177,542 miles",https://www.autotrader.com/cars-for-sale/vehicle/719924008?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Chevrolet Impala LT
"2,000","295,893 miles",https://www.autotrader.com/cars-for-sale/vehicle/717957891?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Chevrolet Impala LT
"2,200",0 miles,https://www.autotrader.com/cars-for-sale/vehicle/713128745?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Chevrolet Impala LT
"2,450","215,473 miles",https://www.autotrader.com/cars-for-sale/vehicle/718520624?allListingType=all-cars&keywordPhrases=Chevrolet%20Impala%20Sedan%202007&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Impala%2520Sedan%25202007%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Chevrolet Impala LTZ
