Price,Name,Mileage,URL
"44,462",Used 2019 Chevrolet Silverado 1500 High Country,"39,102 miles",https://www.autotrader.com/cars-for-sale/vehicle/719938675?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"31,386",Used 2021 Chevrolet Silverado 1500 LT,"49,347 miles",https://www.autotrader.com/cars-for-sale/vehicle/718072671?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"41,835",Used 2022 Chevrolet Silverado 1500 LT Trail Boss,"62,456 miles",https://www.autotrader.com/cars-for-sale/vehicle/716751876?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,500",Used 2012 Chevrolet Silverado 1500 W/T,"195,200 miles",https://www.autotrader.com/cars-for-sale/vehicle/721300636?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,950",Used 1998 Chevrolet Silverado 1500 2WD Extended Cab,"199,544 miles",https://www.autotrader.com/cars-for-sale/vehicle/713029469?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,000",Used 2008 Chevrolet Silverado 1500 LT,"120,951 miles",https://www.autotrader.com/cars-for-sale/vehicle/719392587?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,790",Used 2007 Chevrolet Silverado 1500 LT,"163,911 miles",https://www.autotrader.com/cars-for-sale/vehicle/712387168?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,800",Used 2012 Chevrolet Silverado 1500 LT,"342,109 miles",https://www.autotrader.com/cars-for-sale/vehicle/715224453?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2010 Chevrolet Silverado 1500 LT,"162,890 miles",https://www.autotrader.com/cars-for-sale/vehicle/721192948?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,999",Used 2012 Chevrolet Silverado 1500 LT,"248,092 miles",https://www.autotrader.com/cars-for-sale/vehicle/715224430?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,799",Used 2012 Chevrolet Silverado 1500 LT,"205,143 miles",https://www.autotrader.com/cars-for-sale/vehicle/717297733?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,900",Used 2012 Chevrolet Silverado 1500 LT,"208,120 miles",https://www.autotrader.com/cars-for-sale/vehicle/716580723?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,950",Used 2007 Chevrolet Silverado 1500 LT,"126,873 miles",https://www.autotrader.com/cars-for-sale/vehicle/717750530?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,994",Used 2010 Chevrolet Silverado 1500 LS,"225,185 miles",https://www.autotrader.com/cars-for-sale/vehicle/716885820?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,450",Used 2008 Chevrolet Silverado 1500 W/T,"159,558 miles",https://www.autotrader.com/cars-for-sale/vehicle/719542232?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,495",Used 2012 Chevrolet Silverado 1500 LT,"182,362 miles",https://www.autotrader.com/cars-for-sale/vehicle/718348070?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,499",Used 2003 Chevrolet Silverado 1500 LS,"115,077 miles",https://www.autotrader.com/cars-for-sale/vehicle/718678911?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,499",Used 2012 Chevrolet Silverado 1500 LS,"191,487 miles",https://www.autotrader.com/cars-for-sale/vehicle/719599147?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,950",Used 2008 Chevrolet Silverado 1500 LT,"166,642 miles",https://www.autotrader.com/cars-for-sale/vehicle/708747427?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
