Price,Name,Mileage,URL
"11,587",Used 2012 Chevrolet Silverado 1500 LT,"185,502 miles",https://www.autotrader.com/cars-for-sale/vehicle/720393947?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"39,495",Used 2019 Chevrolet Silverado 1500 LTZ,"38,996 miles",https://www.autotrader.com/cars-for-sale/vehicle/708377614?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"5,995",Used 2010 Chevrolet Silverado 1500 LT,"162,890 miles",https://www.autotrader.com/cars-for-sale/vehicle/721192948?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,995",Used 2007 Chevrolet Silverado 1500 W/T,"96,658 miles",https://www.autotrader.com/cars-for-sale/vehicle/719022471?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,587",Used 2012 Chevrolet Silverado 1500 LT,"185,502 miles",https://www.autotrader.com/cars-for-sale/vehicle/720393947?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=listing
"12,950",Used 2012 Chevrolet Silverado 1500 4x4 Crew Cab Hybrid,"190,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/679756156?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,980",Used 2012 Chevrolet Silverado 1500 LT,"122,158 miles",https://www.autotrader.com/cars-for-sale/vehicle/721206567?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"16,950",Used 2012 Chevrolet Silverado 1500 4x4 Crew Cab Hybrid,"134,306 miles",https://www.autotrader.com/cars-for-sale/vehicle/715525912?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"16,999",Used 2012 Chevrolet Silverado 1500 LT,"104,231 miles",https://www.autotrader.com/cars-for-sale/vehicle/712660056?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,995",Used 2011 Chevrolet Colorado LT,"146,262 miles",https://www.autotrader.com/cars-for-sale/vehicle/711549993?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%201500%20Hybrid%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25201500%2520Hybrid%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
