Price,Name,Mileage,URL
"65,116",New 2024 Chevrolet Silverado 2500 LT,5 miles,https://www.autotrader.com/cars-for-sale/vehicle/719706702?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"52,665",New 2024 Chevrolet Silverado 2500 W/T,90 miles,https://www.autotrader.com/cars-for-sale/vehicle/717864334?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"66,000",New 2024 Chevrolet Silverado 2500 LT,9 miles,https://www.autotrader.com/cars-for-sale/vehicle/704861362?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"12,990",Used 2005 Chevrolet Silverado 2500 W/T,"156,786 miles",https://www.autotrader.com/cars-for-sale/vehicle/719435887?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"18,950",Used 2022 Chevrolet Silverado 2500 LT,"7,732 miles",https://www.autotrader.com/cars-for-sale/vehicle/710300374?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,900",Used 2019 Chevrolet Silverado 2500 W/T,"159,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/717416953?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,988",Used 2012 Chevrolet Silverado 2500 W/T,"75,615 miles",https://www.autotrader.com/cars-for-sale/vehicle/721069291?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,999",Used 2012 Chevrolet Silverado 2500 W/T,"81,693 miles",https://www.autotrader.com/cars-for-sale/vehicle/718464626?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"21,999",Used 2006 Chevrolet Silverado 2500 LT,"189,470 miles",https://www.autotrader.com/cars-for-sale/vehicle/715829924?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"26,987",Used 2020 Chevrolet Silverado 2500 W/T,"122,521 miles",https://www.autotrader.com/cars-for-sale/vehicle/717780494?allListingType=all-cars&keywordPhrases=Chevrolet%20Silverado%202500HD%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Silverado%25202500HD%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
