Price,Name,Mileage,URL
"15,896",Used 2014 Ford Explorer Sport,"101,845 miles",https://www.autotrader.com/cars-for-sale/vehicle/719598797?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"28,500",Certified 2022 Hyundai Santa Fe Limited,"12,456 miles",https://www.autotrader.com/cars-for-sale/vehicle/719754485?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"30,000",Certified 2023 Hyundai Santa Fe Limited,"20,033 miles",https://www.autotrader.com/cars-for-sale/vehicle/718953456?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,750",Used 2015 Ford Explorer Limited,"193,686 miles",https://www.autotrader.com/cars-for-sale/vehicle/715473960?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,400",Used 2015 Chevrolet Equinox LT,"170,262 miles",https://www.autotrader.com/cars-for-sale/vehicle/720275022?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 2014 Ford Explorer Sport,"195,694 miles",https://www.autotrader.com/cars-for-sale/vehicle/716675594?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 2014 Ford Explorer Sport,"184,899 miles",https://www.autotrader.com/cars-for-sale/vehicle/718299284?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,900",Used 2014 Ford Explorer Limited,"189,588 miles",https://www.autotrader.com/cars-for-sale/vehicle/718069987?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,992",Used 2014 Ford Explorer Limited,"188,529 miles",https://www.autotrader.com/cars-for-sale/vehicle/721327771?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2012 Chevrolet Tahoe LT,"206,688 miles",https://www.autotrader.com/cars-for-sale/vehicle/717656346?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=listing
"9,391",Used 2012 Chevrolet Suburban LT,"172,206 miles",https://www.autotrader.com/cars-for-sale/vehicle/717987728?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,500",Used 2014 Ford Explorer Limited,"167,836 miles",https://www.autotrader.com/cars-for-sale/vehicle/720678400?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,900",Used 2014 Ford Explorer Limited,"186,018 miles",https://www.autotrader.com/cars-for-sale/vehicle/720703990?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,990",Used 2015 Ford Explorer Limited,"189,389 miles",https://www.autotrader.com/cars-for-sale/vehicle/720698855?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2014 Ford Explorer XLT,"173,868 miles",https://www.autotrader.com/cars-for-sale/vehicle/718825425?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2014 Ford Explorer Limited,"158,323 miles",https://www.autotrader.com/cars-for-sale/vehicle/720108705?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,058",Used 2014 Ford Explorer Sport,"159,821 miles",https://www.autotrader.com/cars-for-sale/vehicle/718331985?allListingType=all-cars&keywordPhrases=Chevrolet%20Tahoe%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChevrolet%2520Tahoe%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
