Price,Name,Mileage,URL
"29,998",Used 2022 Ford Explorer XLT,"21,892 miles",https://www.autotrader.com/cars-for-sale/vehicle/720659620?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"13,986",Used 2014 Chrysler 300 S,"78,328 miles",https://www.autotrader.com/cars-for-sale/vehicle/708106408?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"41,995",Used 2022 RAM 1500 Big Horn,16 miles,https://www.autotrader.com/cars-for-sale/vehicle/664156863?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,999",Used 2007 Chrysler 300 C,"181,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/717486834?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,495",Used 2010 Chrysler Town & Country Touring,"104,284 miles",https://www.autotrader.com/cars-for-sale/vehicle/720614072?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,499",Used 2013 Chrysler 300 Motown,"153,774 miles",https://www.autotrader.com/cars-for-sale/vehicle/714177616?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,995",Used 2008 Chrysler 300 C,"142,200 miles",https://www.autotrader.com/cars-for-sale/vehicle/716793337?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,107",Used 2014 Chrysler 300,"122,730 miles",https://www.autotrader.com/cars-for-sale/vehicle/713751731?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,359",Used 2013 Chrysler 300,"142,827 miles",https://www.autotrader.com/cars-for-sale/vehicle/715940261?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,500",Used 2015 Chrysler 300 Limited,"103,229 miles",https://www.autotrader.com/cars-for-sale/vehicle/719699169?allListingType=all-cars&keywordPhrases=Chrysler%20300%20SRT-8%202010&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520300%2520SRT-8%25202010%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
