Price,Name,Mileage,URL
"29,988",Used 2023 Chevrolet Blazer LT,"28,116 miles",https://www.autotrader.com/cars-for-sale/vehicle/711349943?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"36,988",Used 2018 Jeep Wrangler Unlimited Sahara,"56,776 miles",https://www.autotrader.com/cars-for-sale/vehicle/704695015?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"19,488",Used 2016 Jeep Renegade Trailhawk,"78,286 miles",https://www.autotrader.com/cars-for-sale/vehicle/698182386?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"2,999",Used 2009 Chrysler Aspen Limited,"198,220 miles",https://www.autotrader.com/cars-for-sale/vehicle/714087938?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,995",Used 2008 Chrysler Aspen Limited,"236,921 miles",https://www.autotrader.com/cars-for-sale/vehicle/709372991?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,499",Used 2009 Chrysler Aspen Limited,"176,516 miles",https://www.autotrader.com/cars-for-sale/vehicle/718403526?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,995",Used 2008 Chrysler Aspen Limited,"182,091 miles",https://www.autotrader.com/cars-for-sale/vehicle/712552047?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,295",Used 2008 Chrysler Aspen Limited,"159,698 miles",https://www.autotrader.com/cars-for-sale/vehicle/718614042?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2007 Chrysler Aspen Limited,"125,900 miles",https://www.autotrader.com/cars-for-sale/vehicle/720499610?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,354",Used 2009 Chrysler Aspen Limited,"173,021 miles",https://www.autotrader.com/cars-for-sale/vehicle/719583963?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2008 Chrysler Aspen Limited,"147,855 miles",https://www.autotrader.com/cars-for-sale/vehicle/719432488?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,988",Used 2015 Jeep Renegade Latitude,"67,958 miles",https://www.autotrader.com/cars-for-sale/vehicle/712927457?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,979",Used 2017 Jeep Cherokee Latitude,"121,651 miles",https://www.autotrader.com/cars-for-sale/vehicle/718932869?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,479",Used 2019 Jeep Compass Sport,"109,749 miles",https://www.autotrader.com/cars-for-sale/vehicle/715501901?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,979",Used 2015 Jeep Grand Cherokee Altitude,"137,643 miles",https://www.autotrader.com/cars-for-sale/vehicle/718306863?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,988",Used 2018 FIAT 500X Trekking,"61,161 miles",https://www.autotrader.com/cars-for-sale/vehicle/720480450?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,988",Used 2016 Jeep Renegade 75th Anniversary,"78,592 miles",https://www.autotrader.com/cars-for-sale/vehicle/713773330?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,988",Used 2017 Jeep Renegade Latitude,"71,016 miles",https://www.autotrader.com/cars-for-sale/vehicle/721327102?allListingType=all-cars&keywordPhrases=Chrysler%20Aspen%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Aspen%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
