Price,Mileage,URL,Name
"16,995","22,245 miles",https://www.autotrader.com/cars-for-sale/vehicle/714905993?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Used 2006 Chrysler Crossfire Limited
"7,500","136,887 miles",https://www.autotrader.com/cars-for-sale/vehicle/719789881?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 BMW 335i Convertible
"7,900","140,882 miles",https://www.autotrader.com/cars-for-sale/vehicle/695735798?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Lexus SC 430 Convertible
"9,500","78,861 miles",https://www.autotrader.com/cars-for-sale/vehicle/716545387?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Chrysler Crossfire Limited
"9,900","130,673 miles",https://www.autotrader.com/cars-for-sale/vehicle/716527951?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Chrysler Crossfire Limited
"10,502","75,983 miles",https://www.autotrader.com/cars-for-sale/vehicle/712220461?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2005 Chrysler Crossfire Limited
"12,495","65,066 miles",https://www.autotrader.com/cars-for-sale/vehicle/719694736?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Chrysler Crossfire Limited
"12,995","75,170 miles",https://www.autotrader.com/cars-for-sale/vehicle/720511216?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Chrysler Crossfire Limited
"12,999","60,708 miles",https://www.autotrader.com/cars-for-sale/vehicle/718969777?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Chrysler Crossfire Limited
"13,904","31,053 miles",https://www.autotrader.com/cars-for-sale/vehicle/711990230?allListingType=all-cars&keywordPhrases=Chrysler%20Crossfire%20Convertible%202008&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Crossfire%2520Convertible%25202008%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2005 Chrysler Crossfire Limited
