Price,Name,Mileage,URL
"9,988",Used 2012 Chrysler Town & Country Touring,"84,640 miles",https://www.autotrader.com/cars-for-sale/vehicle/718922485?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"17,595",Used 2018 Chrysler Pacifica Touring-L,"57,743 miles",https://www.autotrader.com/cars-for-sale/vehicle/712650874?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,997",Used 2012 Chrysler Town & Country Touring-L,"175,537 miles",https://www.autotrader.com/cars-for-sale/vehicle/717052941?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,500",Used 2012 Chrysler Town & Country Touring,"154,068 miles",https://www.autotrader.com/cars-for-sale/vehicle/709984709?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,400",Used 2011 Toyota Sienna Limited,"172,709 miles",https://www.autotrader.com/cars-for-sale/vehicle/706548933?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,495",Used 2012 Chrysler Town & Country Touring,"119,544 miles",https://www.autotrader.com/cars-for-sale/vehicle/718844236?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,681",Used 2012 Chrysler Town & Country Touring-L,"125,835 miles",https://www.autotrader.com/cars-for-sale/vehicle/718843662?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,988",Used 2012 Chrysler Town & Country Touring,"84,640 miles",https://www.autotrader.com/cars-for-sale/vehicle/718922485?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,475",Used 2012 Chrysler Town & Country Limited,"74,950 miles",https://www.autotrader.com/cars-for-sale/vehicle/708981966?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,995",Used 2012 Chrysler Town & Country Limited,"78,790 miles",https://www.autotrader.com/cars-for-sale/vehicle/720657311?allListingType=all-cars&keywordPhrases=Chrysler%20Town%20and%20Country%20Minivan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DChrysler%2520Town%2520and%2520Country%2520Minivan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
