Price,Name,Mileage,URL
"29,900",Used 2011 Dodge Challenger SRT8,"12,157 miles",https://www.autotrader.com/cars-for-sale/vehicle/713681893?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"27,987",Used 2011 Dodge Challenger SRT8,"43,017 miles",https://www.autotrader.com/cars-for-sale/vehicle/719220424?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"36,999",Used 2012 Dodge Challenger SRT8,"9,110 miles",https://www.autotrader.com/cars-for-sale/vehicle/715222804?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"11,995",Used 2013 Dodge Challenger SXT,"113,128 miles",https://www.autotrader.com/cars-for-sale/vehicle/719104169?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"16,995",Used 2011 Dodge Challenger SRT8,"105,317 miles",https://www.autotrader.com/cars-for-sale/vehicle/718120494?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"18,500",Used 2011 Dodge Challenger SRT8,"101,070 miles",https://www.autotrader.com/cars-for-sale/vehicle/718395610?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,995",Used 2011 Dodge Challenger SRT8,"74,697 miles",https://www.autotrader.com/cars-for-sale/vehicle/715552684?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"20,858",Used 2011 Dodge Challenger SRT8,"77,494 miles",https://www.autotrader.com/cars-for-sale/vehicle/719867993?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"20,999",Used 2011 Dodge Challenger SRT8,"78,745 miles",https://www.autotrader.com/cars-for-sale/vehicle/716165059?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"22,000",Used 2011 Dodge Challenger SRT8,"65,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/699950780?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"22,550",Used 2011 Dodge Challenger SRT8,"91,025 miles",https://www.autotrader.com/cars-for-sale/vehicle/703990814?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"23,875",Used 2011 Dodge Challenger SRT8,"49,898 miles",https://www.autotrader.com/cars-for-sale/vehicle/721512630?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"23,988",Used 2011 Dodge Challenger SRT8,"97,026 miles",https://www.autotrader.com/cars-for-sale/vehicle/719460080?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"24,800",Used 2010 Dodge Challenger SRT8,"59,428 miles",https://www.autotrader.com/cars-for-sale/vehicle/683348701?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"25,083",Used 2011 Dodge Challenger SRT8,"47,613 miles",https://www.autotrader.com/cars-for-sale/vehicle/718970685?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"26,500",Used 2011 Dodge Challenger SRT8,"60,061 miles",https://www.autotrader.com/cars-for-sale/vehicle/711396764?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"26,991",Used 2009 Dodge Challenger SRT8,"43,661 miles",https://www.autotrader.com/cars-for-sale/vehicle/718873331?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"27,987",Used 2011 Dodge Challenger SRT8,"43,017 miles",https://www.autotrader.com/cars-for-sale/vehicle/719220424?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"29,750",Used 2011 Dodge Challenger SRT8,"35,722 miles",https://www.autotrader.com/cars-for-sale/vehicle/713798397?allListingType=all-cars&keywordPhrases=Dodge%20Challenger%20SRT8%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"29,900",Used 2011 Dodge Challenger SRT8,"12,157 miles",https://www.autotrader.com/cars-for-sale/vehicle/713681893?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DDodge%2520Challenger%2520SRT8%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=listing
