Price,Name,Mileage,URL
"32,098",Used 2022 Dodge Durango GT,"56,979 miles",https://www.autotrader.com/cars-for-sale/vehicle/712903223?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"32,742",Used 2022 Dodge Durango GT,"33,346 miles",https://www.autotrader.com/cars-for-sale/vehicle/696607917?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"32,763",Used 2021 Dodge Durango GT,"43,239 miles",https://www.autotrader.com/cars-for-sale/vehicle/713917631?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"2,995",Used 2005 Dodge Durango SLT,"165,761 miles",https://www.autotrader.com/cars-for-sale/vehicle/719161254?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,000",Used 2012 Dodge Durango R/T,"236,836 miles",https://www.autotrader.com/cars-for-sale/vehicle/717297658?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,995",Used 2001 Dodge Durango 4WD,"217,608 miles",https://www.autotrader.com/cars-for-sale/vehicle/719708063?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,999",Used 2012 Dodge Durango Crew,"198,915 miles",https://www.autotrader.com/cars-for-sale/vehicle/721471975?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,259",Used 2000 Dodge Durango 4WD,"168,550 miles",https://www.autotrader.com/cars-for-sale/vehicle/720401060?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,500",Used 2012 Dodge Durango SXT,"157,200 miles",https://www.autotrader.com/cars-for-sale/vehicle/717533416?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,995",Used 2012 GMC Acadia SL,"139,855 miles",https://www.autotrader.com/cars-for-sale/vehicle/719875865?allListingType=all-cars&keywordPhrases=Dodge%20Durango%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Durango%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
