Price,Name,Mileage,URL
"36,724",Used 2020 Chevrolet Suburban Premier,"80,046 miles",https://www.autotrader.com/cars-for-sale/vehicle/714938140?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"33,995",Used 2021 Jeep Grand Cherokee L Limited,"50,106 miles",https://www.autotrader.com/cars-for-sale/vehicle/718462813?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"17,499",Used 2020 Dodge Journey Crossroad,"50,203 miles",https://www.autotrader.com/cars-for-sale/vehicle/715458362?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"1,450",Used 2012 Dodge Journey SXT,"155,871 miles",https://www.autotrader.com/cars-for-sale/vehicle/720838643?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"1,995",Used 2012 Dodge Journey SXT,"179,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/721059354?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,000",Used 2012 Dodge Journey R/T,"65,632 miles",https://www.autotrader.com/cars-for-sale/vehicle/721468875?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,100",Used 2012 Dodge Journey American Value Package,"135,690 miles",https://www.autotrader.com/cars-for-sale/vehicle/706524445?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,900",Used 2012 Dodge Journey SXT,"104,790 miles",https://www.autotrader.com/cars-for-sale/vehicle/719178850?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,700",Used 2012 Dodge Journey SXT,"285,220 miles",https://www.autotrader.com/cars-for-sale/vehicle/718914910?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,950",Used 2012 Dodge Journey SXT,"168,291 miles",https://www.autotrader.com/cars-for-sale/vehicle/721366961?allListingType=all-cars&keywordPhrases=Dodge%20Journey%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Journey%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
