Price,Name,Mileage,URL
"5,995",Used 2001 Dodge Ram 1500 Truck 2WD Quad Cab,"119,627 miles",https://www.autotrader.com/cars-for-sale/vehicle/695288083?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2010 Dodge Ram 1500 Truck ST,"201,886 miles",https://www.autotrader.com/cars-for-sale/vehicle/718029332?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2011 Chevrolet Silverado 1500 LT,"204,773 miles",https://www.autotrader.com/cars-for-sale/vehicle/718533300?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2009 Chevrolet Silverado 1500 LTZ,"224,310 miles",https://www.autotrader.com/cars-for-sale/vehicle/688551202?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,991",Used 2018 Nissan Versa SV,"64,383 miles",https://www.autotrader.com/cars-for-sale/vehicle/718662646?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,995",Used 2000 Dodge Ram 2500 Truck 4x4 Quad Cab,"222,881 miles",https://www.autotrader.com/cars-for-sale/vehicle/718264028?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,995",Used 2009 Chevrolet Silverado 1500 LTZ,"168,445 miles",https://www.autotrader.com/cars-for-sale/vehicle/688551191?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,995",Used 2011 Chevrolet Silverado 1500 LT,"124,069 miles",https://www.autotrader.com/cars-for-sale/vehicle/718461594?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"15,995",Used 2013 GMC Sierra 1500 SLE,"133,842 miles",https://www.autotrader.com/cars-for-sale/vehicle/718461595?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"16,995",Used 2002 Dodge Ram 2500 Truck 4x4 Quad Cab,"165,446 miles",https://www.autotrader.com/cars-for-sale/vehicle/718029303?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"16,995",Used 2004 Dodge Ram 2500 Truck SLT,"173,839 miles",https://www.autotrader.com/cars-for-sale/vehicle/706259918?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"17,995",Used 1999 Dodge Ram 2500 Truck 4x4 Quad Cab,"140,016 miles",https://www.autotrader.com/cars-for-sale/vehicle/716671964?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"18,900",Used 2006 Dodge Ram 3500 Truck Laramie,"233,266 miles",https://www.autotrader.com/cars-for-sale/vehicle/716265893?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"20,995",Used 2015 RAM 1500 Longhorn,"127,958 miles",https://www.autotrader.com/cars-for-sale/vehicle/716062237?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"20,995",Used 2012 Ford F150 4x4 SuperCrew,"99,587 miles",https://www.autotrader.com/cars-for-sale/vehicle/721152747?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"20,995",Used 2015 RAM 1500 Big Horn,"100,964 miles",https://www.autotrader.com/cars-for-sale/vehicle/719256951?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"23,400",Used 2018 RAM 1500 Big Horn,"81,207 miles",https://www.autotrader.com/cars-for-sale/vehicle/715535697?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"23,995",Used 2007 Chevrolet Silverado 2500 LT,"151,254 miles",https://www.autotrader.com/cars-for-sale/vehicle/713603969?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"29,999",Used 2016 Chevrolet Silverado 2500 LT,"192,645 miles",https://www.autotrader.com/cars-for-sale/vehicle/721062342?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"30,995",Used 2008 Chevrolet Silverado 3500 LTZ,"103,110 miles",https://www.autotrader.com/cars-for-sale/vehicle/721152749?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"30,995",Used 2014 Ford F350 4x4 Crew Cab Super Duty,"162,223 miles",https://www.autotrader.com/cars-for-sale/vehicle/716163414?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"31,298",Used 2013 Ford F250 Lariat,"89,112 miles",https://www.autotrader.com/cars-for-sale/vehicle/705221049?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"34,298",Used 2021 GMC Sierra 1500 SLT,"48,812 miles",https://www.autotrader.com/cars-for-sale/vehicle/718176504?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"38,898",Used 2011 Ford F350 King Ranch,"86,814 miles",https://www.autotrader.com/cars-for-sale/vehicle/720374396?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"38,900",Used 2022 Ford F350 XLT,"143,311 miles",https://www.autotrader.com/cars-for-sale/vehicle/719345347?allListingType=all-cars&keywordPhrases=Dodge%20Ram%20Pickup%203500%20Quad%20Cab%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Ram%2520Pickup%25203500%2520Quad%2520Cab%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
