Price,Name,Mileage,URL
"41,800",Used 2023 Mercedes-Benz Sprinter 1500,"19,390 miles",https://www.autotrader.com/cars-for-sale/vehicle/718608719?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"2,000",Used 2005 Dodge Sprinter 3500,"375,743 miles",https://www.autotrader.com/cars-for-sale/vehicle/719572779?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,995",Used 2007 Dodge Sprinter 2500,"191,156 miles",https://www.autotrader.com/cars-for-sale/vehicle/717961738?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,995",Used 2007 Dodge Sprinter 2500,"161,478 miles",https://www.autotrader.com/cars-for-sale/vehicle/715188494?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,995",Used 2009 Dodge Sprinter 3500,"220,153 miles",https://www.autotrader.com/cars-for-sale/vehicle/715700963?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,895",Used 2009 Dodge Sprinter 2500,"107,273 miles",https://www.autotrader.com/cars-for-sale/vehicle/717220411?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,995",Used 2009 Dodge Sprinter 2500,"105,384 miles",https://www.autotrader.com/cars-for-sale/vehicle/698489416?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,995",Used 2018 RAM ProMaster 1500,"95,916 miles",https://www.autotrader.com/cars-for-sale/vehicle/713720707?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"26,500",Used 2009 Dodge Sprinter 2500,"122,246 miles",https://www.autotrader.com/cars-for-sale/vehicle/720086357?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"36,882","Used 2022 Mercedes-Benz Sprinter 144"" Cargo","25,208 miles",https://www.autotrader.com/cars-for-sale/vehicle/714649011?allListingType=all-cars&keywordPhrases=Dodge%20Sprinter%20Cargo%20Van%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DDodge%2520Sprinter%2520Cargo%2520Van%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
