Price,Name,Mileage,URL
"6,940",Used 2012 FIAT 500 Sport,"104,916 miles",https://www.autotrader.com/cars-for-sale/vehicle/720023025?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"7,497",Used 2012 FIAT 500 Pop,"63,489 miles",https://www.autotrader.com/cars-for-sale/vehicle/720468842?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"5,750",Used 2012 FIAT 500 Pop,"88,494 miles",https://www.autotrader.com/cars-for-sale/vehicle/718133531?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,129",Used 2012 FIAT 500 Pop,"108,339 miles",https://www.autotrader.com/cars-for-sale/vehicle/717517996?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,900",Used 2012 FIAT 500 Pop,"119,417 miles",https://www.autotrader.com/cars-for-sale/vehicle/720409796?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,940",Used 2012 FIAT 500 Sport,"104,916 miles",https://www.autotrader.com/cars-for-sale/vehicle/720023025?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,990",Used 2012 FIAT 500 Pop,"99,238 miles",https://www.autotrader.com/cars-for-sale/vehicle/716197177?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,356",Used 2012 FIAT 500 Pop,"89,761 miles",https://www.autotrader.com/cars-for-sale/vehicle/720272407?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,497",Used 2012 FIAT 500 Pop,"63,489 miles",https://www.autotrader.com/cars-for-sale/vehicle/720468842?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 2012 FIAT 500 Pop,"75,884 miles",https://www.autotrader.com/cars-for-sale/vehicle/720103134?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,989",Used 2012 FIAT 500 Sport,"75,372 miles",https://www.autotrader.com/cars-for-sale/vehicle/719202934?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,950",Used 2012 FIAT 500 Pop,"74,045 miles",https://www.autotrader.com/cars-for-sale/vehicle/713207661?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,895",Used 2012 FIAT 500 Sport,"29,182 miles",https://www.autotrader.com/cars-for-sale/vehicle/719347417?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,966",Used 2012 FIAT 500 Abarth,"78,050 miles",https://www.autotrader.com/cars-for-sale/vehicle/721278410?allListingType=all-cars&keywordPhrases=FIAT%20500%20Abarth%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFIAT%2520500%2520Abarth%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
