Price,Name,Mileage,URL
"38,548",Used 2021 Ford F150 XLT,"23,680 miles",https://www.autotrader.com/cars-for-sale/vehicle/708363518?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"38,767",Used 2022 Ford F150 XLT,"35,470 miles",https://www.autotrader.com/cars-for-sale/vehicle/714072976?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"49,962",Used 2023 Ford F150 XLT,"1,980 miles",https://www.autotrader.com/cars-for-sale/vehicle/716680784?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"9,900",Used 2009 Ford E-350 and Econoline 350 Super Duty Wagon,"112,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/714565020?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,800",Used 2012 Ford E-350 and Econoline 350 XLT,"282,571 miles",https://www.autotrader.com/cars-for-sale/vehicle/720239483?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,350",Used 2020 Kia Optima LX,"63,738 miles",https://www.autotrader.com/cars-for-sale/vehicle/711751563?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,900",Used 2012 Ford E-350 and Econoline 350 Super Duty Wagon,"112,780 miles",https://www.autotrader.com/cars-for-sale/vehicle/719175259?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"16,495",Used 2013 Ford E-150 and Econoline 150 XL,"82,925 miles",https://www.autotrader.com/cars-for-sale/vehicle/700471630?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"18,995",Used 2014 Ford E-350 and Econoline 350 Extended Wagon Super Duty,"82,616 miles",https://www.autotrader.com/cars-for-sale/vehicle/719451644?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"37,441",Used 2022 Ford Explorer Limited,"21,645 miles",https://www.autotrader.com/cars-for-sale/vehicle/712030996?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"38,548",Used 2021 Ford F150 XLT,"23,680 miles",https://www.autotrader.com/cars-for-sale/vehicle/708363518?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"38,767",Used 2022 Ford F150 XLT,"35,470 miles",https://www.autotrader.com/cars-for-sale/vehicle/714072976?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"49,962",Used 2023 Ford F150 XLT,"1,980 miles",https://www.autotrader.com/cars-for-sale/vehicle/716680784?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"63,326",New 2024 Ford F350 XLT,7 miles,https://www.autotrader.com/cars-for-sale/vehicle/719984132?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"63,968",New 2024 Ford F250 XLT,50 miles,https://www.autotrader.com/cars-for-sale/vehicle/713721178?allListingType=all-cars&keywordPhrases=Ford%20E-Series%20Wagon%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520E-Series%2520Wagon%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
