Price,Name,Mileage,URL
775,Used 2012 Ford Expedition EL XLT,"213,706 miles",https://www.autotrader.com/cars-for-sale/vehicle/719569979?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
900,Used 2007 Ford Expedition EL Limited,"264,988 miles",https://www.autotrader.com/cars-for-sale/vehicle/720827675?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,100",Used 2017 Ford Expedition EL XLT,"122,692 miles",https://www.autotrader.com/cars-for-sale/vehicle/719945467?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,800",Used 2012 Ford Expedition EL XLT,"224,743 miles",https://www.autotrader.com/cars-for-sale/vehicle/719565013?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,450",Used 2015 Ford Expedition EL XLT,"169,217 miles",https://www.autotrader.com/cars-for-sale/vehicle/719563606?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,200",Used 2009 Ford Expedition EL XLT,"220,580 miles",https://www.autotrader.com/cars-for-sale/vehicle/719066890?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,000",Used 2009 Ford Expedition EL Limited,"186,953 miles",https://www.autotrader.com/cars-for-sale/vehicle/721431792?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2007 Ford Expedition EL Limited,"191,797 miles",https://www.autotrader.com/cars-for-sale/vehicle/710616433?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,995",Used 2009 Ford Expedition EL Limited,"224,360 miles",https://www.autotrader.com/cars-for-sale/vehicle/714851739?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,999",Used 2009 Ford Expedition EL Eddie Bauer,"175,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/704889257?allListingType=all-cars&keywordPhrases=Ford%20Expedition%20EL%20SUV%202009&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Expedition%2520EL%2520SUV%25202009%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
