Price,Name,Mileage,URL
"60,223",New 2024 Ford F150 XLT,18 miles,https://www.autotrader.com/cars-for-sale/vehicle/709884607?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"39,995",Certified 2021 Ford F150 Lariat,"59,625 miles",https://www.autotrader.com/cars-for-sale/vehicle/719345657?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"53,579",New 2024 Ford F150 XLT,33 miles,https://www.autotrader.com/cars-for-sale/vehicle/709357408?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"3,200",Used 1995 Ford F350 2WD Regular Cab,"170,235 miles",https://www.autotrader.com/cars-for-sale/vehicle/718760678?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,900",Used 2004 Ford F150 XLT,"210,988 miles",https://www.autotrader.com/cars-for-sale/vehicle/718484446?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,999",Used 1995 Ford F250 2WD Regular Cab,"390,696 miles",https://www.autotrader.com/cars-for-sale/vehicle/721070518?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,000",Used 2008 Ford F350 2WD Regular Cab DRW Super Duty,"81,100 miles",https://www.autotrader.com/cars-for-sale/vehicle/703057414?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,000",Used 1996 Ford F450 2WD Regular Cab Super Duty,"137,131 miles",https://www.autotrader.com/cars-for-sale/vehicle/682530873?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2012 Ford F150 XL,"202,691 miles",https://www.autotrader.com/cars-for-sale/vehicle/719061015?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,499",Used 2000 Ford F450 2WD Regular Cab Super Duty,"149,117 miles",https://www.autotrader.com/cars-for-sale/vehicle/705700999?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,800",Used 2012 Ford F250 XL,"205,673 miles",https://www.autotrader.com/cars-for-sale/vehicle/720873857?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,800",Used 1989 Chevrolet Silverado 1500 2WD Regular Cab,"275,313 miles",https://www.autotrader.com/cars-for-sale/vehicle/719487505?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 1996 Ford F350 2WD Regular Cab,"172,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/699116387?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,995",Used 2005 Ford F150 STX,"79,043 miles",https://www.autotrader.com/cars-for-sale/vehicle/661396634?allListingType=all-cars&keywordPhrases=Ford%20F-150%20Regular%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-150%2520Regular%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
