Price,Name,Mileage,URL
"76,795",Used 2023 Ford F150 Raptor,"5,409 miles",https://www.autotrader.com/cars-for-sale/vehicle/710723673?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"56,118",Used 2022 Ford F250 Lariat,"32,712 miles",https://www.autotrader.com/cars-for-sale/vehicle/717990720?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"7,000",Used 2000 Ford F350 4x4 Crew Cab Super Duty,"493,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/718688545?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,000",Used 2008 Ford F350 XLT,"327,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/719507576?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,800",Used 2004 Ford F250 XL,"271,118 miles",https://www.autotrader.com/cars-for-sale/vehicle/713079672?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2011 Chevrolet Silverado 1500 LT,"204,773 miles",https://www.autotrader.com/cars-for-sale/vehicle/718533300?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2009 Chevrolet Silverado 1500 LTZ,"224,310 miles",https://www.autotrader.com/cars-for-sale/vehicle/688551202?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2012 Ford F150 XLT,"131,920 miles",https://www.autotrader.com/cars-for-sale/vehicle/720805071?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2012 Chevrolet Silverado 1500 W/T,"95,913 miles",https://www.autotrader.com/cars-for-sale/vehicle/721249716?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,500",Used 2011 Ford F150 Lariat,"217,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/721208210?allListingType=all-cars&keywordPhrases=Ford%20F-450%20Super%20Duty%20Crew%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520F-450%2520Super%2520Duty%2520Crew%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
