Price,Mileage,URL,Name
"12,000","47,776 miles",https://www.autotrader.com/cars-for-sale/vehicle/718477338?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Certified 2019 Ford Fiesta S
"10,988","66,685 miles",https://www.autotrader.com/cars-for-sale/vehicle/720149325?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2019 Ford Fiesta SE
"5,500","92,877 miles",https://www.autotrader.com/cars-for-sale/vehicle/720554321?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2012 Ford Fiesta SE
"1,900","128,516 miles",https://www.autotrader.com/cars-for-sale/vehicle/703640813?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Ford Fiesta S
"2,657","162,899 miles",https://www.autotrader.com/cars-for-sale/vehicle/710551783?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Ford Fiesta S
"3,000","113,343 miles",https://www.autotrader.com/cars-for-sale/vehicle/716887196?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Ford Fiesta SE
"3,150","170,450 miles",https://www.autotrader.com/cars-for-sale/vehicle/719221349?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Ford Fiesta SE
"3,450","175,035 miles",https://www.autotrader.com/cars-for-sale/vehicle/709296740?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Ford Fiesta SE
"3,999","137,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/681681548?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Ford Fiesta SEL
"4,195","147,225 miles",https://www.autotrader.com/cars-for-sale/vehicle/710539410?allListingType=all-cars&keywordPhrases=Ford%20Fiesta%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Fiesta%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Ford Fiesta SE
