Name,Price,Mileage,URL
2005 Ford GT,"$429,900","3,564 miles",https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S15Y401759/?national=true&radius=6000
2005 Ford GT,"$450,000","13,000 miles",https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S85Y400544/?national=true&radius=6000
2006 Ford GT,"$899,995",8 miles,https://www.edmunds.com/ford/gt/2006/vin/1FAFP90S26Y401299/?national=true&radius=6000
2006 Ford GT,"$695,000","1,594 miles",https://www.edmunds.com/ford/gt/2006/vin/1FAFP90S06Y400507/?national=true&radius=6000
2006 Ford GT,"$425,000","8,814 miles",https://www.edmunds.com/ford/gt/2006/vin/1FAFP90S16Y401231/?national=true&radius=6000
2006 Ford GT,"$170,000","3,521 miles",https://www.edmunds.com/ford/gt/2006/vin/1FAFP90S66Y896607/?national=true&radius=6000
2005 Ford GT,"$697,798",3 miles,https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S05Y401025/?national=true&radius=6000
2005 Ford GT,"$449,990","2,851 miles",https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S45Y400136/?national=true&radius=6000
2005 Ford GT,"$450,000",281 miles,https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S05Y400764/?national=true&radius=6000
2006 Ford GT,"$599,980","1,500 miles",https://www.edmunds.com/ford/gt/2006/vin/1FAFP90S86Y401159/?national=true&radius=6000
2006 Ford GT,"$464,900","1,865 miles",https://www.edmunds.com/ford/gt/2006/vin/1FAFP90S56Y400874/?national=true&radius=6000
2005 Ford GT,Not Priced,"39,623 miles",https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S05Y400621/?national=true&radius=6000
2006 Ford GT,"$399,000","13,481 miles",https://www.edmunds.com/ford/gt/2006/vin/1FAFP90S66Y401192/?national=true&radius=6000
2005 Ford GT,Not Priced,136 miles,https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S35Y401729/?national=true&radius=6000
2005 Ford GT,Not Priced,"8,350 miles",https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S45Y401254/?national=true&radius=6000
2005 Ford GT,Not Priced,"9,921 miles",https://www.edmunds.com/ford/gt/2005/vin/1FAFP90S65Y400686/?national=true&radius=6000
2017 Ford GT,"$250,000","4,300 miles",https://www.edmunds.com/ford/gt/2017/vin/2FAGP9CW3HH119883/?national=true&radius=6000
