Price,Name,Mileage,URL
"15,450",Used 2011 Ford Ranger XLT,"88,918 miles",https://www.autotrader.com/cars-for-sale/vehicle/712960059?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"20,969",Used 2011 Ford Ranger 4x4 SuperCab,"54,451 miles",https://www.autotrader.com/cars-for-sale/vehicle/712602010?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"6,795",Used 2011 Ford Ranger Sport,"161,893 miles",https://www.autotrader.com/cars-for-sale/vehicle/717297742?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,995",Used 2011 Ford Ranger XLT,"219,870 miles",https://www.autotrader.com/cars-for-sale/vehicle/719061013?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2011 Ford Ranger Sport,"129,206 miles",https://www.autotrader.com/cars-for-sale/vehicle/714289056?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,344",Used 2011 Ford Ranger XLT,"126,847 miles",https://www.autotrader.com/cars-for-sale/vehicle/721197999?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,995",Used 2011 Ford Ranger XLT,"164,371 miles",https://www.autotrader.com/cars-for-sale/vehicle/712965697?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,995",Used 2009 Ford Ranger XL,"84,027 miles",https://www.autotrader.com/cars-for-sale/vehicle/715830552?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,500",Used 2011 Ford Ranger 2WD SuperCab,"72,785 miles",https://www.autotrader.com/cars-for-sale/vehicle/716051056?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,788",Used 2011 Ford Ranger 4x4 SuperCab,"133,173 miles",https://www.autotrader.com/cars-for-sale/vehicle/714618861?allListingType=all-cars&keywordPhrases=Ford%20Ranger%20SuperCab%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DFord%2520Ranger%2520SuperCab%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
