Price,Name,Mileage,URL
"8,990",Used 2006 GMC Canyon SLE,"132,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/710971639?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2005 GMC Canyon SLE,"56,789 miles",https://www.autotrader.com/cars-for-sale/vehicle/718628808?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,900",Used 2010 GMC Canyon SLE,"195,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/718305385?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2012 GMC Canyon W/T,"143,416 miles",https://www.autotrader.com/cars-for-sale/vehicle/668965616?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,995",Used 2007 GMC Canyon SLE,"166,313 miles",https://www.autotrader.com/cars-for-sale/vehicle/717179571?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,995",Used 2012 GMC Canyon SLE,"173,176 miles",https://www.autotrader.com/cars-for-sale/vehicle/719063954?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,995",Used 2012 GMC Canyon SLE,"124,947 miles",https://www.autotrader.com/cars-for-sale/vehicle/536175969?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,789",Used 2012 Nissan Frontier SL,"144,004 miles",https://www.autotrader.com/cars-for-sale/vehicle/667929352?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,995",Used 2008 GMC Canyon SLE,"57,738 miles",https://www.autotrader.com/cars-for-sale/vehicle/720176409?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,996",Used 2010 GMC Canyon W/T,"74,444 miles",https://www.autotrader.com/cars-for-sale/vehicle/721163973?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,999",Used 2006 GMC Canyon SL,"82,634 miles",https://www.autotrader.com/cars-for-sale/vehicle/696068354?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"14,463",Certified 2012 GMC Canyon SLE,"130,077 miles",https://www.autotrader.com/cars-for-sale/vehicle/714308330?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"24,500",Used 2017 GMC Canyon SLE,"74,529 miles",https://www.autotrader.com/cars-for-sale/vehicle/714102869?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"32,995",Used 2022 GMC Canyon AT4,"53,689 miles",https://www.autotrader.com/cars-for-sale/vehicle/719495416?allListingType=all-cars&keywordPhrases=GMC%20Canyon%20Extended%20Cab%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Canyon%2520Extended%2520Cab%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
