Price,Name,Mileage,URL
"65,990",Used 2020 GMC Savana 2500,"14,278 miles",https://www.autotrader.com/cars-for-sale/vehicle/713271380?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"54,130",New 2023 GMC Savana 3500,0 miles,https://www.autotrader.com/cars-for-sale/vehicle/715717490?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"59,216",New 2023 GMC Savana 3500,214 miles,https://www.autotrader.com/cars-for-sale/vehicle/713743854?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,000",Used 2007 GMC Savana 3500,"298,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/717777426?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,000",Used 2011 GMC Savana 3500 LT,"215,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/714962966?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,000",Used 2005 GMC Savana 3500,"176,542 miles",https://www.autotrader.com/cars-for-sale/vehicle/720820454?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,995",Used 2012 GMC Savana 2500,"193,883 miles",https://www.autotrader.com/cars-for-sale/vehicle/704116266?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 2012 GMC Savana 3500,"234,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/679271993?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,200",Used 2010 GMC Savana 3500,"301,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/717778298?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,900",Used 2012 GMC Savana 2500,"330,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/710895197?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,900",Used 2012 GMC Savana 2500 Extended,"145,673 miles",https://www.autotrader.com/cars-for-sale/vehicle/708894820?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,495",Used 2012 GMC Savana 1500 AWD,"524,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/685195279?allListingType=all-cars&keywordPhrases=GMC%20Savana%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Savana%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
