Price,Name,Mileage,URL
"12,974",Used 2012 GMC Yukon SLT,"147,242 miles",https://www.autotrader.com/cars-for-sale/vehicle/720289595?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"39,990",Used 2021 Jeep Wrangler Unlimited Rubicon 4xe,"26,530 miles",https://www.autotrader.com/cars-for-sale/vehicle/719251355?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"44,185",Used 2020 GMC Yukon XL Denali,"64,715 miles",https://www.autotrader.com/cars-for-sale/vehicle/702077198?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"5,995",Used 2009 GMC Yukon 4WD Hybrid,"182,635 miles",https://www.autotrader.com/cars-for-sale/vehicle/720358276?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,791",Used 2012 GMC Yukon SLT,"202,500 miles",https://www.autotrader.com/cars-for-sale/vehicle/721489724?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,988",Used 2007 GMC Yukon SLT,"126,897 miles",https://www.autotrader.com/cars-for-sale/vehicle/719379546?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,900",Used 2012 GMC Yukon SLT,"176,458 miles",https://www.autotrader.com/cars-for-sale/vehicle/710358364?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,500",Used 2012 GMC Yukon XL Denali,"184,004 miles",https://www.autotrader.com/cars-for-sale/vehicle/711211644?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,649",Used 2012 GMC Yukon XL Denali,"175,776 miles",https://www.autotrader.com/cars-for-sale/vehicle/720129394?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,884",Used 2012 GMC Yukon XL Denali,"115,962 miles",https://www.autotrader.com/cars-for-sale/vehicle/717776673?allListingType=all-cars&keywordPhrases=GMC%20Yukon%20Hybrid%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DGMC%2520Yukon%2520Hybrid%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
