Price,Mileage,URL,Name
"30,415","44,563 miles",https://www.autotrader.com/cars-for-sale/vehicle/717928496?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2021 BMW 530i
"7,865","119,728 miles",https://www.autotrader.com/cars-for-sale/vehicle/720009287?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2012 Hyundai Accent GLS
"52,910","21,251 miles",https://www.autotrader.com/cars-for-sale/vehicle/721173409?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2023 BMW 540i
"1,440","122,016 miles",https://www.autotrader.com/cars-for-sale/vehicle/720951027?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Accent GLS
"2,995","185,814 miles",https://www.autotrader.com/cars-for-sale/vehicle/720409335?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Accent GLS
"3,300","184,483 miles",https://www.autotrader.com/cars-for-sale/vehicle/715847735?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 1997 Mercedes-Benz E 300 Sedan
"4,399","162,183 miles",https://www.autotrader.com/cars-for-sale/vehicle/711455681?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Accent GLS
"4,399","64,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/721160821?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2009 Hyundai Accent GLS
"4,400","119,595 miles",https://www.autotrader.com/cars-for-sale/vehicle/719149356?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Accent GLS
"4,500","184,022 miles",https://www.autotrader.com/cars-for-sale/vehicle/719823643?allListingType=all-cars&keywordPhrases=Hyundai%20Accent%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Accent%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Accent GLS
