Price,Mileage,URL,Name
"6,674","194,108 miles",https://www.autotrader.com/cars-for-sale/vehicle/719209121?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Used 2012 Hyundai Azera
"11,951","95,247 miles",https://www.autotrader.com/cars-for-sale/vehicle/719635212?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2015 Hyundai Azera
"3,995","190,031 miles",https://www.autotrader.com/cars-for-sale/vehicle/715929433?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 Hyundai Azera Limited
"4,250","100,705 miles",https://www.autotrader.com/cars-for-sale/vehicle/653088957?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"6,500","153,501 miles",https://www.autotrader.com/cars-for-sale/vehicle/720706207?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"6,674","194,108 miles",https://www.autotrader.com/cars-for-sale/vehicle/719209121?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"6,788","124,175 miles",https://www.autotrader.com/cars-for-sale/vehicle/709075143?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Hyundai Azera Limited
"6,995","93,647 miles",https://www.autotrader.com/cars-for-sale/vehicle/715827071?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2013 Hyundai Azera
"7,388","122,386 miles",https://www.autotrader.com/cars-for-sale/vehicle/717347942?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Buick Lucerne CXL
"7,499","88,410 miles",https://www.autotrader.com/cars-for-sale/vehicle/710020349?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"7,988","149,639 miles",https://www.autotrader.com/cars-for-sale/vehicle/718662160?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"8,400","123,154 miles",https://www.autotrader.com/cars-for-sale/vehicle/718703214?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"9,497","78,988 miles",https://www.autotrader.com/cars-for-sale/vehicle/719958835?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"9,990","78,900 miles",https://www.autotrader.com/cars-for-sale/vehicle/721261216?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Hyundai Azera Limited
"9,998","26,797 miles",https://www.autotrader.com/cars-for-sale/vehicle/720541079?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"9,999","88,695 miles",https://www.autotrader.com/cars-for-sale/vehicle/688657540?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"10,995","87,710 miles",https://www.autotrader.com/cars-for-sale/vehicle/720755342?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Hyundai Azera
"10,998","76,762 miles",https://www.autotrader.com/cars-for-sale/vehicle/720584725?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"11,289","57,008 miles",https://www.autotrader.com/cars-for-sale/vehicle/720985341?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Azera
"11,466","53,800 miles",https://www.autotrader.com/cars-for-sale/vehicle/720843038?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Hyundai Azera Limited
"11,951","95,247 miles",https://www.autotrader.com/cars-for-sale/vehicle/719635212?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Hyundai Azera
"11,988","98,240 miles",https://www.autotrader.com/cars-for-sale/vehicle/719715531?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Hyundai Azera
"12,495","79,258 miles",https://www.autotrader.com/cars-for-sale/vehicle/718406657?allListingType=all-cars&keywordPhrases=Hyundai%20Azera%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Hyundai Azera
"6,674","194,108 miles",https://www.autotrader.com/cars-for-sale/vehicle/719209121?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Azera%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Used 2012 Hyundai Azera
