Price,Name,Mileage,URL
"12,441",Used 2014 Hyundai Elantra GT,"81,767 miles",https://www.autotrader.com/cars-for-sale/vehicle/717020387?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"5,000",Used 2011 Hyundai Elantra SE,"176,201 miles",https://www.autotrader.com/cars-for-sale/vehicle/720762772?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,990",Used 2014 Hyundai Elantra GT,"144,612 miles",https://www.autotrader.com/cars-for-sale/vehicle/714288389?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2012 Hyundai Elantra Touring SE,"112,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/718461125?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,900",Used 2012 Hyundai Elantra SE,"167,891 miles",https://www.autotrader.com/cars-for-sale/vehicle/719278803?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,996",Used 2012 Hyundai Elantra,"82,500 miles",https://www.autotrader.com/cars-for-sale/vehicle/706035133?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,000",Used 2012 Hyundai Elantra SE,"107,946 miles",https://www.autotrader.com/cars-for-sale/vehicle/719754331?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,000",Used 2017 Hyundai Elantra GT,"153,435 miles",https://www.autotrader.com/cars-for-sale/vehicle/721292741?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,999",Used 2012 Hyundai Elantra,"104,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/713383784?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,350",Used 2020 Kia Optima LX,"63,738 miles",https://www.autotrader.com/cars-for-sale/vehicle/711751563?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,999",Used 2017 Hyundai Elantra GT,"70,294 miles",https://www.autotrader.com/cars-for-sale/vehicle/699474647?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,300",Used 2017 Hyundai Elantra GT,"70,253 miles",https://www.autotrader.com/cars-for-sale/vehicle/721039036?allListingType=all-cars&keywordPhrases=Hyundai%20Elantra%20Touring%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Elantra%2520Touring%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
