Price,Mileage,URL,Name
"17,990","85,819 miles",https://www.autotrader.com/cars-for-sale/vehicle/719938822?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2018 Genesis G80 3.8
"11,111","111,933 miles",https://www.autotrader.com/cars-for-sale/vehicle/709098266?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2016 Hyundai Genesis 3.8
"27,544","13,188 miles",https://www.autotrader.com/cars-for-sale/vehicle/714731436?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2023 Hyundai Sonata Limited
800,"180,243 miles",https://www.autotrader.com/cars-for-sale/vehicle/720134679?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Genesis 3.8
"1,000","181,876 miles",https://www.autotrader.com/cars-for-sale/vehicle/720593329?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Genesis 3.8
"1,500","187,585 miles",https://www.autotrader.com/cars-for-sale/vehicle/719573526?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Genesis 3.8
"3,999","219,163 miles",https://www.autotrader.com/cars-for-sale/vehicle/715647930?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Nissan Altima 2.5 S
"4,795","57,554 miles",https://www.autotrader.com/cars-for-sale/vehicle/436691829?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Genesis 3.8
"4,879","261,847 miles",https://www.autotrader.com/cars-for-sale/vehicle/720442597?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Elantra GLS
"4,900","150,313 miles",https://www.autotrader.com/cars-for-sale/vehicle/716249964?allListingType=all-cars&keywordPhrases=Hyundai%20Genesis%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Genesis%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Hyundai Genesis 3.8
