Name,Price,Mileage,URL
2012 Hyundai Sonata Hybrid,"$7,991","86,106 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2012/vin/KMHEC4A43CA045708/?national=true&radius=6000
2012 Hyundai Sonata Hybrid,"$6,995","145,619 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2012/vin/KMHEC4A49CA033871/?national=true&radius=6000
2011 Hyundai Sonata Hybrid,"$2,000","128,636 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2011/vin/KMHEC4A44BA008147/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$2,000","165,525 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A49DA091819/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$10,990","100,132 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A49DA051269/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$7,992","122,288 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A40DA077842/?national=true&radius=6000
2011 Hyundai Sonata Hybrid,"$8,459","88,078 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2011/vin/KMHEC4A41BA011412/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$7,895","111,003 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A49DA075989/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$9,474","70,729 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A46DA089672/?national=true&radius=6000
2011 Hyundai Sonata Hybrid,"$7,950","135,553 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2011/vin/KMHEC4A4XBA007259/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$1,750","141,779 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A47DA077756/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$9,991","132,185 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A48DA095862/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$14,790","55,159 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A44DA101186/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$14,590","61,799 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A44DA091842/?national=true&radius=6000
2011 Hyundai Sonata Hybrid,"$11,990","85,734 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2011/vin/KMHEC4A46BA006318/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$14,599","95,574 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A49DA050929/?national=true&radius=6000
2014 Hyundai Sonata Hybrid,"$8,999","73,064 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2014/vin/KMHEC4A46EA105600/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$12,998","117,230 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A43DA067743/?national=true&radius=6000
2013 Hyundai Sonata Hybrid,"$14,998","68,062 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2013/vin/KMHEC4A42DA092228/?national=true&radius=6000
2014 Hyundai Sonata Hybrid,"$11,999","30,232 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2014/vin/KMHEC4A48EA117702/?national=true&radius=6000
2012 Hyundai Sonata Hybrid,"$5,999","115,005 miles",https://www.edmunds.com/hyundai/sonata-hybrid/2012/vin/KMHEC4A41CA030978/?national=true&radius=6000
