Price,Name,Mileage,URL
"23,999",Used 2024 Hyundai Tucson SEL,"12,227 miles",https://www.autotrader.com/cars-for-sale/vehicle/720159559?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"9,899",Used 2014 Hyundai Tucson GLS,"71,356 miles",https://www.autotrader.com/cars-for-sale/vehicle/714422066?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"25,497",Used 2022 Hyundai Santa Fe SEL,"29,944 miles",https://www.autotrader.com/cars-for-sale/vehicle/715898889?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,987",Used 2012 Hyundai Tucson GLS,"187,110 miles",https://www.autotrader.com/cars-for-sale/vehicle/718962772?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,999",Used 2012 Hyundai Tucson GLS,"111,144 miles",https://www.autotrader.com/cars-for-sale/vehicle/699129372?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,000",Used 2012 Hyundai Tucson Limited,"189,403 miles",https://www.autotrader.com/cars-for-sale/vehicle/721305503?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,300",Used 2012 Hyundai Tucson GL,"119,520 miles",https://www.autotrader.com/cars-for-sale/vehicle/715259162?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,698",Used 2012 Hyundai Tucson GLS,"193,079 miles",https://www.autotrader.com/cars-for-sale/vehicle/717662750?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,753",Used 2008 Hyundai Santa Fe GLS,"200,311 miles",https://www.autotrader.com/cars-for-sale/vehicle/720364692?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,900",Used 2012 Hyundai Tucson Limited,"295,480 miles",https://www.autotrader.com/cars-for-sale/vehicle/712227116?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,990",Used 2012 Hyundai Tucson Limited,"165,577 miles",https://www.autotrader.com/cars-for-sale/vehicle/718161414?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,994",Used 2012 Hyundai Tucson Limited,"134,731 miles",https://www.autotrader.com/cars-for-sale/vehicle/709075528?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,200",Used 2012 Hyundai Tucson GLS,"154,096 miles",https://www.autotrader.com/cars-for-sale/vehicle/718453790?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,200",Used 2012 Hyundai Tucson GLS,"162,257 miles",https://www.autotrader.com/cars-for-sale/vehicle/718918751?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,225",Used 2012 Hyundai Tucson GLS,"163,871 miles",https://www.autotrader.com/cars-for-sale/vehicle/718375783?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,300",Used 2012 Hyundai Tucson GLS,"165,600 miles",https://www.autotrader.com/cars-for-sale/vehicle/719172991?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,495",Used 2012 Hyundai Tucson GLS,"155,805 miles",https://www.autotrader.com/cars-for-sale/vehicle/719916970?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,495",Used 2012 Hyundai Tucson GLS,"162,120 miles",https://www.autotrader.com/cars-for-sale/vehicle/714568954?allListingType=all-cars&keywordPhrases=Hyundai%20Tucson%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Tucson%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
