Price,Name,Mileage,URL
"8,999",Used 2012 Hyundai Veracruz Limited,"91,262 miles",https://www.autotrader.com/cars-for-sale/vehicle/720890168?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"5,747",Used 2012 Hyundai Veracruz Limited,"172,602 miles",https://www.autotrader.com/cars-for-sale/vehicle/719459855?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"2,995",Used 2008 Hyundai Veracruz Limited,"171,220 miles",https://www.autotrader.com/cars-for-sale/vehicle/717666068?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,900",Used 2012 Hyundai Veracruz GLS,"193,257 miles",https://www.autotrader.com/cars-for-sale/vehicle/691130915?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,999",Used 2012 Hyundai Veracruz Limited,"153,728 miles",https://www.autotrader.com/cars-for-sale/vehicle/716434330?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,500",Used 2012 Hyundai Veracruz Limited,"151,464 miles",https://www.autotrader.com/cars-for-sale/vehicle/714138849?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,695",Used 2012 Hyundai Veracruz GLS,"140,915 miles",https://www.autotrader.com/cars-for-sale/vehicle/716980528?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,747",Used 2012 Hyundai Veracruz Limited,"172,602 miles",https://www.autotrader.com/cars-for-sale/vehicle/719459855?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,950",Used 2012 Hyundai Veracruz Limited,"207,853 miles",https://www.autotrader.com/cars-for-sale/vehicle/720956802?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,999",Used 2012 Hyundai Veracruz Limited,"175,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/719367734?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,495",Used 2011 Hyundai Veracruz Limited,"110,010 miles",https://www.autotrader.com/cars-for-sale/vehicle/711822132?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,495",Used 2010 Hyundai Veracruz GLS,"139,575 miles",https://www.autotrader.com/cars-for-sale/vehicle/709178956?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,950",Used 2012 Hyundai Veracruz Limited,"151,193 miles",https://www.autotrader.com/cars-for-sale/vehicle/718873926?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,479",Used 2012 Hyundai Veracruz Limited,"75,984 miles",https://www.autotrader.com/cars-for-sale/vehicle/716679198?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,995",Used 2012 Hyundai Veracruz Limited,"109,467 miles",https://www.autotrader.com/cars-for-sale/vehicle/721423063?allListingType=all-cars&keywordPhrases=Hyundai%20Veracruz%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DHyundai%2520Veracruz%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
