Price,Name,Mileage,URL
"40,700",Used 2022 Hyundai Palisade Calligraphy,"45,379 miles",https://www.autotrader.com/cars-for-sale/vehicle/719584155?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"27,398",Used 2022 Ford Explorer XLT,"31,369 miles",https://www.autotrader.com/cars-for-sale/vehicle/719008579?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"75,290",Used 2021 Cadillac Escalade Sport Platinum,"56,152 miles",https://www.autotrader.com/cars-for-sale/vehicle/716540050?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
650,Used 2012 Jeep Liberty Sport,"229,163 miles",https://www.autotrader.com/cars-for-sale/vehicle/720282845?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"1,500",Used 2012 Ford Escape XLT,"243,661 miles",https://www.autotrader.com/cars-for-sale/vehicle/718295140?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"1,500",Used 2012 Jeep Liberty Sport,"171,486 miles",https://www.autotrader.com/cars-for-sale/vehicle/719563468?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"1,788",Used 2004 Jeep Liberty Sport,"178,023 miles",https://www.autotrader.com/cars-for-sale/vehicle/720838873?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"1,900",Used 2012 Jeep Liberty Arctic,0 miles,https://www.autotrader.com/cars-for-sale/vehicle/706354202?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,900",Used 2012 Jeep Liberty Limited Jet,0 miles,https://www.autotrader.com/cars-for-sale/vehicle/675160809?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,990",Used 2012 Cadillac Escalade ESV Luxury,"253,490 miles",https://www.autotrader.com/cars-for-sale/vehicle/718660035?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,995",Used 2012 Jeep Liberty Sport,"220,913 miles",https://www.autotrader.com/cars-for-sale/vehicle/709734113?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,995",Used 2012 Jeep Liberty Sport,"223,927 miles",https://www.autotrader.com/cars-for-sale/vehicle/720354190?allListingType=all-cars&keywordPhrases=Jeep%20Liberty%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Liberty%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
