Price,Name,Mileage,URL
"58,602",Used 2023 RAM 2500 Laramie,"54,909 miles",https://www.autotrader.com/cars-for-sale/vehicle/719783242?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"8,995",Used 2012 Jeep Patriot Sport,"84,720 miles",https://www.autotrader.com/cars-for-sale/vehicle/718767062?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"43,888",Used 2021 Lincoln Navigator Reserve,"67,333 miles",https://www.autotrader.com/cars-for-sale/vehicle/716091094?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
900,Used 2012 Jeep Patriot Latitude,"171,078 miles",https://www.autotrader.com/cars-for-sale/vehicle/719824195?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"1,275",Used 2012 Jeep Patriot Sport,"186,097 miles",https://www.autotrader.com/cars-for-sale/vehicle/721236248?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"2,995",Used 2010 Jeep Patriot Sport,"180,801 miles",https://www.autotrader.com/cars-for-sale/vehicle/718579747?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,495",Used 2012 Jeep Patriot Sport,"161,249 miles",https://www.autotrader.com/cars-for-sale/vehicle/719146028?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,750",Used 2012 Jeep Patriot Latitude,"171,854 miles",https://www.autotrader.com/cars-for-sale/vehicle/720662599?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,795",Used 2012 Jeep Patriot Latitude,"144,097 miles",https://www.autotrader.com/cars-for-sale/vehicle/678707886?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,987",Used 2016 Jeep Patriot Sport,"219,038 miles",https://www.autotrader.com/cars-for-sale/vehicle/718474630?allListingType=all-cars&keywordPhrases=Jeep%20Patriot%20SUV%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DJeep%2520Patriot%2520SUV%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
