Price,Mileage,URL,Name
"14,995","346,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/638057794?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Used 2011 Lincoln Town Car Executive
"18,688","79,289 miles",https://www.autotrader.com/cars-for-sale/vehicle/713062147?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2020 Lincoln MKZ Hybrid
"10,000","139,939 miles",https://www.autotrader.com/cars-for-sale/vehicle/721055842?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2017 Ford Fusion SE
"3,300","184,483 miles",https://www.autotrader.com/cars-for-sale/vehicle/715847735?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 1997 Mercedes-Benz E 300 Sedan
"4,997","144,428 miles",https://www.autotrader.com/cars-for-sale/vehicle/716187843?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Chevrolet Impala LT
"5,200","142,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/705451543?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Lincoln Town Car Signature Limited
"6,491","196,624 miles",https://www.autotrader.com/cars-for-sale/vehicle/721078493?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Lincoln Town Car Signature Limited
"6,988",0 miles,https://www.autotrader.com/cars-for-sale/vehicle/720532862?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Lincoln Town Car Signature Limited
"7,450","150,535 miles",https://www.autotrader.com/cars-for-sale/vehicle/717347527?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Lincoln Town Car Signature Limited
"8,299","137,058 miles",https://www.autotrader.com/cars-for-sale/vehicle/719050627?allListingType=all-cars&keywordPhrases=Lincoln%20Town%20Car%20Sedan%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DLincoln%2520Town%2520Car%2520Sedan%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Chrysler 200 C
