Price,Mileage,URL,Name
"1,950","151,387 miles",https://www.autotrader.com/cars-for-sale/vehicle/720299807?allListingType=all-cars&keywordPhrases=MINI%20Cooper%20Roadster%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMINI%2520Cooper%2520Roadster%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Roadster S
"9,995","105,220 miles",https://www.autotrader.com/cars-for-sale/vehicle/710741055?allListingType=all-cars&keywordPhrases=MINI%20Cooper%20Roadster%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMINI%2520Cooper%2520Roadster%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Roadster S
"10,999","114,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/721305498?allListingType=all-cars&keywordPhrases=MINI%20Cooper%20Roadster%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMINI%2520Cooper%2520Roadster%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Roadster
"11,999","40,029 miles",https://www.autotrader.com/cars-for-sale/vehicle/720635682?allListingType=all-cars&keywordPhrases=MINI%20Cooper%20Roadster%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMINI%2520Cooper%2520Roadster%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Roadster S
"13,995","44,242 miles",https://www.autotrader.com/cars-for-sale/vehicle/719955720?allListingType=all-cars&keywordPhrases=MINI%20Cooper%20Roadster%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMINI%2520Cooper%2520Roadster%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Roadster
"$1,700","151,387 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY3C57CT565131/?national=true&radius=6000,2012 MINI Cooper Roadster
"$12,990","96,361 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY3C53CT144345/?national=true&radius=6000,2012 MINI Cooper Roadster
"$17,000","28,782 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY3C58CT144776/?national=true&radius=6000,2012 MINI Cooper Roadster
"$13,790","71,845 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY1C50CT429136/?national=true&radius=6000,2012 MINI Cooper Roadster
"$11,495","74,454 miles",https://www.edmunds.com/mini/cooper-roadster/2013/vin/WMWSY3C59DT594390/?national=true&radius=6000,2013 MINI Cooper Roadster
"$12,990","102,683 miles",https://www.edmunds.com/mini/cooper-roadster/2013/vin/WMWSY3C54DT593888/?national=true&radius=6000,2013 MINI Cooper Roadster
"$20,895","24,776 miles",https://www.edmunds.com/mini/cooper-roadster/2014/vin/WMWSY3C57ET594888/?national=true&radius=6000,2014 MINI Cooper Roadster
"$18,590","28,585 miles",https://www.edmunds.com/mini/cooper-roadster/2014/vin/WMWSY3C5XET595310/?national=true&radius=6000,2014 MINI Cooper Roadster
"$11,798","84,329 miles",https://www.edmunds.com/mini/cooper-roadster/2014/vin/WMWSY3C54ET594931/?national=true&radius=6000,2014 MINI Cooper Roadster
"$11,998","77,977 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY3C53CT144443/?national=true&radius=6000,2012 MINI Cooper Roadster
"$10,785","119,857 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY3C54CT144368/?national=true&radius=6000,2012 MINI Cooper Roadster
"$15,950","63,463 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY3C51CT144375/?national=true&radius=6000,2012 MINI Cooper Roadster
"$13,995","44,242 miles",https://www.edmunds.com/mini/cooper-roadster/2012/vin/WMWSY1C5XCT311515/?national=true&radius=6000,2012 MINI Cooper Roadster
"$10,900","78,000 miles",https://www.edmunds.com/mini/cooper-roadster/2013/vin/WMWSY3C52DT593629/?national=true&radius=6000,2013 MINI Cooper Roadster
"$9,986","85,885 miles",https://www.edmunds.com/mini/cooper-roadster/2013/vin/WMWSY1C52DT429382/?national=true&radius=6000,2013 MINI Cooper Roadster
"$19,995","12,922 miles",https://www.edmunds.com/mini/cooper-roadster/2015/vin/WMWSY1C53FT719665/?national=true&radius=6000,2015 MINI Cooper Roadster
"$19,999","33,842 miles",https://www.edmunds.com/mini/cooper-roadster/2015/vin/WMWSY3C54FT595840/?national=true&radius=6000,2015 MINI Cooper Roadster
"$18,590","47,706 miles",https://www.edmunds.com/mini/cooper-roadster/2015/vin/WMWSY3C5XFT595776/?national=true&radius=6000,2015 MINI Cooper Roadster
"$14,128","66,969 miles",https://www.edmunds.com/mini/cooper-roadster/2015/vin/WMWSY1C53FT625933/?national=true&radius=6000,2015 MINI Cooper Roadster
"$12,985","89,376 miles",https://www.edmunds.com/mini/cooper-roadster/2013/vin/WMWSY3C58DT594137/?national=true&radius=6000,2013 MINI Cooper Roadster
"$14,490","68,267 miles",https://www.edmunds.com/mini/cooper-roadster/2013/vin/WMWSY3C50DT565778/?national=true&radius=6000,2013 MINI Cooper Roadster
