Price,Name,Mileage,URL
"7,995",Used 2011 MAZDA Tribute s Grand Touring,"109,140 miles",https://www.autotrader.com/cars-for-sale/vehicle/709699835?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,999",Used 2011 Jeep Grand Cherokee Laredo,"152,525 miles",https://www.autotrader.com/cars-for-sale/vehicle/651551604?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,500",Used 2014 Subaru Forester 2.5i Premium,"153,435 miles",https://www.autotrader.com/cars-for-sale/vehicle/678038586?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,990",Used 2011 MAZDA CX-7 i SV,"121,467 miles",https://www.autotrader.com/cars-for-sale/vehicle/718604271?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,999",Used 2014 Jeep Cherokee Latitude,"130,554 miles",https://www.autotrader.com/cars-for-sale/vehicle/706653795?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,500",Used 2015 Nissan Rogue SL,"84,551 miles",https://www.autotrader.com/cars-for-sale/vehicle/715622179?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,899",Used 2011 MAZDA Tribute i,"84,595 miles",https://www.autotrader.com/cars-for-sale/vehicle/720759567?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,999",Used 2011 MAZDA Tribute s Grand Touring,"54,714 miles",https://www.autotrader.com/cars-for-sale/vehicle/701379539?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,990",Used 2011 MAZDA Tribute Sport,"132,174 miles",https://www.autotrader.com/cars-for-sale/vehicle/718951048?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,500",Used 2016 Jeep Cherokee Limited,"38,601 miles",https://www.autotrader.com/cars-for-sale/vehicle/700683154?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,999",Used 2018 Subaru Forester 2.5i,"46,938 miles",https://www.autotrader.com/cars-for-sale/vehicle/710020653?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,999",Used 2015 Subaru Forester 2.5i Premium,"63,619 miles",https://www.autotrader.com/cars-for-sale/vehicle/705100814?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"16,800",Used 2018 Subaru Forester 2.5i Premium,"25,321 miles",https://www.autotrader.com/cars-for-sale/vehicle/698083065?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"19,999",Used 2021 Jeep Cherokee Latitude Lux,"13,261 miles",https://www.autotrader.com/cars-for-sale/vehicle/681938951?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"21,999",Used 2022 Subaru Forester Premium,"13,634 miles",https://www.autotrader.com/cars-for-sale/vehicle/719627094?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"21,999",Used 2016 Honda Pilot EX-L,"26,427 miles",https://www.autotrader.com/cars-for-sale/vehicle/720413719?allListingType=all-cars&keywordPhrases=Mazda%20Tribute%20SUV%202011&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMazda%2520Tribute%2520SUV%25202011%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
