Name,Price,Mileage,URL
2012 Mercedes-Benz C-Class,"$10,995","55,568 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB1CR213197/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$8,498","98,622 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB8CA614390/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$9,495","75,324 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB1CR236690/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$6,900","128,586 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB4CR223089/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$10,995","78,497 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB1CR221364/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$9,598","98,732 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB1CA681476/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$9,897","103,707 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB7CA613974/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$8,950","106,157 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB9CA611353/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$7,995","129,997 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB7CF917521/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$9,988","75,370 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB1CR202734/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$10,498","65,688 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB3CA669183/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$10,000","82,280 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB2CA626941/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$12,988","24,367 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB7CR194719/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$11,487","48,486 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB2CR219848/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$5,950","180,324 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB6CR233865/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$14,888","40,988 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB0CR207858/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$8,995","129,449 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BBXCR224926/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$10,499","96,040 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BB0CR237619/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$10,500","84,486 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB8CA667946/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$7,800","114,238 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF4HB2CR195471/?national=true&radius=6000
2012 Mercedes-Benz C-Class,"$9,500","101,570 miles",https://www.edmunds.com/mercedes-benz/c-class/2012/vin/WDDGF8BBXCR201274/?national=true&radius=6000
