Name,Price,Mileage,URL
2012 Mercedes-Benz S-Class,"$14,995","62,317 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG7DB1CA478762/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$2,700","181,999 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG9EB8CA470197/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$14,499","71,570 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG7DB7CA420445/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$20,490","41,394 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG9EB4CA490916/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$15,513","83,756 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG7DB8CA439327/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$27,997","71,725 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG7EBXCA447122/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$14,223","107,863 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG7DB4CA430429/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$11,999","144,074 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG9EB0CA468542/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$15,450","104,368 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG9EB7CA465217/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$50,590","19,172 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG7KBXCA429093/?national=true&radius=6000
2013 Mercedes-Benz S-Class,"$16,995","51,200 miles",https://www.edmunds.com/mercedes-benz/s-class/2013/vin/WDDNG7DB6DA535765/?national=true&radius=6000
2012 Mercedes-Benz S-Class,"$14,990","118,008 miles",https://www.edmunds.com/mercedes-benz/s-class/2012/vin/WDDNG7DBXCA434002/?national=true&radius=6000
2013 Mercedes-Benz S-Class,"$15,866","89,701 miles",https://www.edmunds.com/mercedes-benz/s-class/2013/vin/WDDNG9EB9DA509221/?national=true&radius=6000
2011 Mercedes-Benz S-Class,"$12,289","127,098 miles",https://www.edmunds.com/mercedes-benz/s-class/2011/vin/WDDNG8GB5BA364392/?national=true&radius=6000
2011 Mercedes-Benz S-Class,"$12,997","96,086 miles",https://www.edmunds.com/mercedes-benz/s-class/2011/vin/WDDNG8GB3BA418305/?national=true&radius=6000
2013 Mercedes-Benz S-Class,"$15,495","115,599 miles",https://www.edmunds.com/mercedes-benz/s-class/2013/vin/WDDNG9EB3DA495901/?national=true&radius=6000
2013 Mercedes-Benz S-Class,"$18,280","69,910 miles",https://www.edmunds.com/mercedes-benz/s-class/2013/vin/WDDNG7DB6DA527584/?national=true&radius=6000
2013 Mercedes-Benz S-Class,"$12,497","139,617 miles",https://www.edmunds.com/mercedes-benz/s-class/2013/vin/WDDNG9EB5DA530325/?national=true&radius=6000
2013 Mercedes-Benz S-Class,"$20,999","53,160 miles",https://www.edmunds.com/mercedes-benz/s-class/2013/vin/WDDNG7DB3DA496066/?national=true&radius=6000
2011 Mercedes-Benz S-Class,"$17,425","92,857 miles",https://www.edmunds.com/mercedes-benz/s-class/2011/vin/WDDNG8GB1BA395445/?national=true&radius=6000
2011 Mercedes-Benz S-Class,"$13,500","113,316 miles",https://www.edmunds.com/mercedes-benz/s-class/2011/vin/WDDNG8GBXBA363237/?national=true&radius=6000
