Price,Mileage,URL,Name
"5,495","167,508 miles",https://www.autotrader.com/cars-for-sale/vehicle/701052858?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer SE
"5,995","167,820 miles",https://www.autotrader.com/cars-for-sale/vehicle/719345264?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer ES
"6,369","123,940 miles",https://www.autotrader.com/cars-for-sale/vehicle/710018349?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Outlander SE
"7,980","144,117 miles",https://www.autotrader.com/cars-for-sale/vehicle/707069994?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer GT
"7,995","122,205 miles",https://www.autotrader.com/cars-for-sale/vehicle/683107967?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer SE
"8,892","68,026 miles",https://www.autotrader.com/cars-for-sale/vehicle/720320036?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer GT
"9,524","49,385 miles",https://www.autotrader.com/cars-for-sale/vehicle/718854241?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer ES
"9,595","49,515 miles",https://www.autotrader.com/cars-for-sale/vehicle/719322780?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer GT
"10,999","125,689 miles",https://www.autotrader.com/cars-for-sale/vehicle/718859710?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Mitsubishi Lancer Ralliart
"11,900","91,882 miles",https://www.autotrader.com/cars-for-sale/vehicle/721346775?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2016 Toyota Camry LE
"16,998","159,134 miles",https://www.autotrader.com/cars-for-sale/vehicle/709475330?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"17,000","154,558 miles",https://www.autotrader.com/cars-for-sale/vehicle/706628311?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"18,900","73,038 miles",https://www.autotrader.com/cars-for-sale/vehicle/720719034?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution MR
"22,514","92,357 miles",https://www.autotrader.com/cars-for-sale/vehicle/718480678?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"23,900","111,103 miles",https://www.autotrader.com/cars-for-sale/vehicle/718262446?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"23,991","72,866 miles",https://www.autotrader.com/cars-for-sale/vehicle/720608610?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution MR
"24,000","120,613 miles",https://www.autotrader.com/cars-for-sale/vehicle/709254182?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2008 Mitsubishi Lancer Evolution GSR
"24,995","80,245 miles",https://www.autotrader.com/cars-for-sale/vehicle/718120489?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"25,800","79,161 miles",https://www.autotrader.com/cars-for-sale/vehicle/720813474?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution MR
"25,950","93,109 miles",https://www.autotrader.com/cars-for-sale/vehicle/719099770?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"27,949","60,911 miles",https://www.autotrader.com/cars-for-sale/vehicle/720531234?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"32,000","64,287 miles",https://www.autotrader.com/cars-for-sale/vehicle/720334262?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"34,999","94,123 miles",https://www.autotrader.com/cars-for-sale/vehicle/717504547?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"35,999","46,700 miles",https://www.autotrader.com/cars-for-sale/vehicle/699077216?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Mitsubishi Lancer Evolution GSR
"47,990","51,757 miles",https://www.autotrader.com/cars-for-sale/vehicle/711388558?allListingType=all-cars&keywordPhrases=Mitsubishi%20Lancer%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DMitsubishi%2520Lancer%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Mitsubishi Lancer Evolution IX
"$6,985","164,000 miles",https://www.edmunds.com/mitsubishi/lancer/2012/vin/JA32U2FU2CU031796/?national=true&radius=6000,2012 Mitsubishi Lancer
