Price,Name,Mileage,URL
"5,232",Used 2012 Nissan Leaf SL,"61,978 miles",https://www.autotrader.com/cars-for-sale/vehicle/721180755?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"14,642",Used 2023 Nissan Leaf S,"15,018 miles",https://www.autotrader.com/cars-for-sale/vehicle/719853549?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"16,995",Used 2022 Nissan Leaf SV Plus,"23,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/707463789?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"3,465",Used 2013 Nissan Leaf S,"99,870 miles",https://www.autotrader.com/cars-for-sale/vehicle/720299456?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,477",Used 2012 Nissan Leaf SL,"54,166 miles",https://www.autotrader.com/cars-for-sale/vehicle/719543939?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,600",Used 2012 Nissan Leaf SL,"85,347 miles",https://www.autotrader.com/cars-for-sale/vehicle/719573006?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"3,995",Used 2012 Nissan Leaf SL,"59,618 miles",https://www.autotrader.com/cars-for-sale/vehicle/711468519?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,350",Used 2012 Nissan Leaf SL,"50,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/710887120?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,500",Used 2012 Nissan Leaf SL,"101,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/719978490?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,510",Used 2012 Nissan Leaf SL,"60,900 miles",https://www.autotrader.com/cars-for-sale/vehicle/718086847?allListingType=all-cars&keywordPhrases=Nissan%20Leaf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520Leaf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
