Price,Name,Mileage,URL
"23,962",Used 2015 Nissan NV 3500 S,"93,055 miles",https://www.autotrader.com/cars-for-sale/vehicle/719482695?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"48,496",Used 2021 Nissan NV 3500 SL,"52,880 miles",https://www.autotrader.com/cars-for-sale/vehicle/715787575?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"11,985",Used 2012 Nissan NV 1500 S,"142,910 miles",https://www.autotrader.com/cars-for-sale/vehicle/719932790?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"4,795",Used 2012 Nissan NV 2500 S,"370,463 miles",https://www.autotrader.com/cars-for-sale/vehicle/564421667?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,995",Used 2012 Nissan NV S,"248,673 miles",https://www.autotrader.com/cars-for-sale/vehicle/658493899?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,795",Used 2012 Nissan NV 2500 SV,"184,975 miles",https://www.autotrader.com/cars-for-sale/vehicle/651560165?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,795",Used 2012 Nissan NV 2500,"159,773 miles",https://www.autotrader.com/cars-for-sale/vehicle/626092453?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,999",Used 2012 Nissan NV 2500 S,"234,208 miles",https://www.autotrader.com/cars-for-sale/vehicle/714329264?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,795",Used 2012 Nissan NV 2500,"179,611 miles",https://www.autotrader.com/cars-for-sale/vehicle/615898164?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,795",Used 2012 Nissan NV 2500,"462,232 miles",https://www.autotrader.com/cars-for-sale/vehicle/621886704?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2012 Nissan NV 2500 S,"188,397 miles",https://www.autotrader.com/cars-for-sale/vehicle/694311093?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,995",Used 2012 Nissan NV 1500 S,"263,272 miles",https://www.autotrader.com/cars-for-sale/vehicle/711862586?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,999",Used 2017 Chevrolet City Express LT,"123,112 miles",https://www.autotrader.com/cars-for-sale/vehicle/684062713?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,995",Used 2012 Nissan NV 2500 S,"151,164 miles",https://www.autotrader.com/cars-for-sale/vehicle/710535127?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,800",Used 2013 Nissan NV 1500 SV,"182,147 miles",https://www.autotrader.com/cars-for-sale/vehicle/719450363?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,900",Used 2012 Nissan NV 2500 SV,"183,235 miles",https://www.autotrader.com/cars-for-sale/vehicle/718163188?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,900",Used 2014 Ford Transit Connect XL,"103,682 miles",https://www.autotrader.com/cars-for-sale/vehicle/714702984?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,985",Used 2012 Nissan NV 1500 S,"142,910 miles",https://www.autotrader.com/cars-for-sale/vehicle/719932790?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,500",Used 2016 Nissan NV 2500 S,"188,615 miles",https://www.autotrader.com/cars-for-sale/vehicle/713794079?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,800",Used 2019 Nissan NV 1500 SV,"195,194 miles",https://www.autotrader.com/cars-for-sale/vehicle/718440389?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,500",Used 2014 Ford Transit Connect XL,"109,752 miles",https://www.autotrader.com/cars-for-sale/vehicle/697962265?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,695",Used 2012 Nissan NV 2500 S,"100,621 miles",https://www.autotrader.com/cars-for-sale/vehicle/719435716?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,800",Used 2017 Ford Transit Connect XLT,"112,709 miles",https://www.autotrader.com/cars-for-sale/vehicle/716522381?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"48,496",Used 2021 Nissan NV 3500 SL,"52,880 miles",https://www.autotrader.com/cars-for-sale/vehicle/715787575?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight
"13,860",Used 2016 Nissan NV 3500 SL,"149,313 miles",https://www.autotrader.com/cars-for-sale/vehicle/710231657?allListingType=all-cars&keywordPhrases=Nissan%20NV%20Passenger%20Van%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DNissan%2520NV%2520Passenger%2520Van%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
