Price,Mileage,URL,Name
"279,995","24,216 miles",https://www.autotrader.com/cars-for-sale/vehicle/704079720?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2015 Rolls-Royce Phantom Drophead Coupe
"199,981","31,056 miles",https://www.autotrader.com/cars-for-sale/vehicle/702600433?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2012 Rolls-Royce Phantom Drophead Coupe
"399,988","1,965 miles",https://www.autotrader.com/cars-for-sale/vehicle/711907433?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Certified 2024 Rolls-Royce Cullinan
"86,999","47,637 miles",https://www.autotrader.com/cars-for-sale/vehicle/720301076?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Rolls-Royce Ghost
"98,996","34,372 miles",https://www.autotrader.com/cars-for-sale/vehicle/715327400?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2013 Rolls-Royce Ghost
"130,000","68,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/716838729?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 Rolls-Royce Phantom Drophead Coupe
"144,955","31,347 miles",https://www.autotrader.com/cars-for-sale/vehicle/721434867?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2008 Rolls-Royce Phantom Drophead Coupe
"156,900","31,213 miles",https://www.autotrader.com/cars-for-sale/vehicle/707726402?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 Rolls-Royce Phantom Drophead Coupe
"156,998","67,869 miles",https://www.autotrader.com/cars-for-sale/vehicle/664945045?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Certified 2010 Rolls-Royce Phantom Drophead Coupe
"159,000","37,948 miles",https://www.autotrader.com/cars-for-sale/vehicle/720182852?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Drophead%20Coupe%20Convertible%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Drophead%2520Coupe%2520Convertible%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 Rolls-Royce Phantom Drophead Coupe
