Price,Mileage,URL,Name
"309,750","19,505 miles",https://www.autotrader.com/cars-for-sale/vehicle/714966060?referrer=%2Fcars-for-sale%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&clickType=spotlight,Used 2019 Rolls-Royce Phantom Sedan
"319,996","13,946 miles",https://www.autotrader.com/cars-for-sale/vehicle/660694462?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2018 Rolls-Royce Phantom Sedan
"364,990","5,968 miles",https://www.autotrader.com/cars-for-sale/vehicle/713072382?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Certified 2023 Rolls-Royce Ghost Black Badge
"57,500","47,133 miles",https://www.autotrader.com/cars-for-sale/vehicle/720593117?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2004 Rolls-Royce Phantom Sedan
"74,987","70,800 miles",https://www.autotrader.com/cars-for-sale/vehicle/718025555?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Rolls-Royce Ghost
"75,000","57,036 miles",https://www.autotrader.com/cars-for-sale/vehicle/720930748?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2005 Rolls-Royce Phantom Sedan
"80,000","42,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/708540764?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Rolls-Royce Phantom Sedan
"84,950","68,633 miles",https://www.autotrader.com/cars-for-sale/vehicle/708163529?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2004 Rolls-Royce Phantom Sedan
"86,995",0 miles,https://www.autotrader.com/cars-for-sale/vehicle/719548479?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2004 Rolls-Royce Phantom Sedan
"86,999","47,637 miles",https://www.autotrader.com/cars-for-sale/vehicle/720301076?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Rolls-Royce Ghost
"89,900","63,949 miles",https://www.autotrader.com/cars-for-sale/vehicle/714676499?allListingType=all-cars&keywordPhrases=Rolls-Royce%20Phantom%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DRolls-Royce%2520Phantom%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2007 Rolls-Royce Phantom Sedan
