Price,Mileage,URL,Name
"1,600","146,047 miles",https://www.autotrader.com/cars-for-sale/vehicle/719166127?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi Sport GTS
"1,700","144,303 miles",https://www.autotrader.com/cars-for-sale/vehicle/719572178?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi Sport GTS
"2,800","189,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/720614560?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Suzuki Kizashi SE
"3,300","184,483 miles",https://www.autotrader.com/cars-for-sale/vehicle/715847735?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 1997 Mercedes-Benz E 300 Sedan
"4,998","105,724 miles",https://www.autotrader.com/cars-for-sale/vehicle/709106464?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi S
"5,499","113,985 miles",https://www.autotrader.com/cars-for-sale/vehicle/702470144?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi SE
"6,750","123,927 miles",https://www.autotrader.com/cars-for-sale/vehicle/687607825?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi S
"6,900","115,364 miles",https://www.autotrader.com/cars-for-sale/vehicle/716522563?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi Sport SLS
"7,500","102,702 miles",https://www.autotrader.com/cars-for-sale/vehicle/718939802?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi SE
"7,700","79,197 miles",https://www.autotrader.com/cars-for-sale/vehicle/720732417?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Hyundai Accent GLS
"7,989","144,379 miles",https://www.autotrader.com/cars-for-sale/vehicle/693784117?allListingType=all-cars&keywordPhrases=Suzuki%20Kizashi%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520Kizashi%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki Kizashi SE
