Price,Name,Mileage,URL
"5,970",Used 2012 Suzuki SX4 AWD Hatchback,"105,171 miles",https://www.autotrader.com/cars-for-sale/vehicle/720423765?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,995",Used 2012 Suzuki SX4 AWD Hatchback,"71,097 miles",https://www.autotrader.com/cars-for-sale/vehicle/699115033?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,999",Used 2012 Toyota Prius Three,"165,383 miles",https://www.autotrader.com/cars-for-sale/vehicle/680163615?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 2011 Suzuki SX4 AWD Hatchback,"145,509 miles",https://www.autotrader.com/cars-for-sale/vehicle/713153360?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 2012 Suzuki SX4 AWD Hatchback,"69,902 miles",https://www.autotrader.com/cars-for-sale/vehicle/719882824?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,989",Used 2012 Suzuki SX4 AWD Hatchback,"142,421 miles",https://www.autotrader.com/cars-for-sale/vehicle/700400632?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,995",Used 2012 Suzuki SX4 AWD Hatchback,"75,885 miles",https://www.autotrader.com/cars-for-sale/vehicle/715339150?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,498",Used 2012 Suzuki SX4 AWD Hatchback,"86,501 miles",https://www.autotrader.com/cars-for-sale/vehicle/719948888?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,900",Used 2012 Suzuki SX4 Premium,"78,255 miles",https://www.autotrader.com/cars-for-sale/vehicle/713209089?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,989",Used 2012 Suzuki SX4 AWD Hatchback,"133,086 miles",https://www.autotrader.com/cars-for-sale/vehicle/697489795?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
