Price,Mileage,URL,Name
"4,995","89,892 miles",https://www.autotrader.com/cars-for-sale/vehicle/685739389?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2012 Suzuki SX4 LE
"3,300","184,483 miles",https://www.autotrader.com/cars-for-sale/vehicle/715847735?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 1997 Mercedes-Benz E 300 Sedan
"3,495","198,965 miles",https://www.autotrader.com/cars-for-sale/vehicle/720814030?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki SX4 LE
"4,995","89,892 miles",https://www.autotrader.com/cars-for-sale/vehicle/685739389?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Suzuki SX4 LE
"5,998","141,095 miles",https://www.autotrader.com/cars-for-sale/vehicle/711139620?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2009 Suzuki SX4 Sport
"7,700","79,197 miles",https://www.autotrader.com/cars-for-sale/vehicle/720732417?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Hyundai Accent GLS
"8,800","68,314 miles",https://www.autotrader.com/cars-for-sale/vehicle/720873825?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Nissan Altima 2.5 SL
"10,499","33,345 miles",https://www.autotrader.com/cars-for-sale/vehicle/713683801?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2018 Nissan Sentra S
"10,499","127,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/688041364?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Dodge Charger R/T
"10,999","98,697 miles",https://www.autotrader.com/cars-for-sale/vehicle/697269697?allListingType=all-cars&keywordPhrases=Suzuki%20SX4%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DSuzuki%2520SX4%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Honda Civic SE
